ci95_high,ci95_low,comparison,control_condition,delta,metric,modality,true_condition
0.023333333333333428,0.0050000000000000044,true_vs_none,none,0.014166666666666772,accuracy,text,true_text
0.9166666666666666,0.7532391138273491,true_vs_none,none,0.835820895522388,cr,text,true_text
-0.4411764705882354,-0.689655172413793,true_vs_none,none,-0.5671641791044776,pr,text,true_text
0.20999999999999996,0.06139619883040933,true_vs_none,none,0.13432835820895517,si,text,true_text
0.20999999999999996,0.06139619883040933,true_vs_none,none,0.13432835820895528,sra,text,true_text
0.9152542372881356,0.75,true_vs_none,none,0.8333333333333334,fcs,text,true_text
0.6956521739130435,0.4506866197183098,true_vs_none,none,0.5757575757575758,fws,text,true_text
0.4067953546767104,0.11428571428571438,true_vs_none,none,0.25757575757575757,follow_selectivity,text,true_text
0.02416666666666667,0.00666666666666671,true_vs_self,self_text,0.015000000000000013,accuracy,text,true_text
0.9402985074626866,0.7846153846153846,true_vs_self,self_text,0.8656716417910447,cr,text,true_text
-0.46875,-0.7195243902439024,true_vs_self,self_text,-0.5970149253731343,pr,text,true_text
0.21126760563380276,0.0625,true_vs_self,self_text,0.13432835820895517,si,text,true_text
0.21126760563380276,0.0625,true_vs_self,self_text,0.13432835820895528,sra,text,true_text
0.9512195121951219,0.8,true_vs_self,self_text,0.8787878787878788,fcs,text,true_text
0.7272727272727273,0.47944492009132417,true_vs_self,self_text,0.6060606060606061,fws,text,true_text
0.4285714285714286,0.12658227848101272,true_vs_self,self_text,0.2727272727272727,follow_selectivity,text,true_text
0.03416666666666668,0.010000000000000009,true_vs_other,other_text,0.021666666666666723,accuracy,text,true_text
0.9411764705882353,0.7857142857142857,true_vs_other,other_text,0.8656716417910447,cr,text,true_text
-0.4383561643835617,-0.7162212585720048,true_vs_other,other_text,-0.582089552238806,pr,text,true_text
0.22464673913043476,0.0625,true_vs_other,other_text,0.1417910447761193,si,text,true_text
0.2246467391304347,0.0625,true_vs_other,other_text,0.14179104477611948,sra,text,true_text
0.9411764705882353,0.782608695652174,true_vs_other,other_text,0.8636363636363636,fcs,text,true_text
0.7391304347826086,0.49230769230769234,true_vs_other,other_text,0.6212121212121212,fws,text,true_text
0.3968253968253968,0.0961472602739726,true_vs_other,other_text,0.24242424242424243,follow_selectivity,text,true_text
0.007500000000000062,-0.007500000000000062,true_vs_none,none,0.0,accuracy,statebridge,true_statebridge
0.9180327868852458,0.7413793103448276,true_vs_none,none,0.835820895522388,cr,statebridge,true_statebridge
-0.71875,-0.9104477611940299,true_vs_none,none,-0.8208955223880596,pr,statebridge,true_statebridge
0.0714285714285714,-0.05738493064312742,true_vs_none,none,0.007462686567164201,si,statebridge,true_statebridge
0.0714285714285714,-0.05738493064312742,true_vs_none,none,0.007462686567164201,sra,statebridge,true_statebridge
0.9166666666666666,0.7391180830039525,true_vs_none,none,0.8333333333333334,fcs,statebridge,true_statebridge
0.9230769230769231,0.7313432835820896,true_vs_none,none,0.8333333333333334,fws,statebridge,true_statebridge
0.12728239845261113,-0.12903225806451624,true_vs_none,none,0.0,follow_selectivity,statebridge,true_statebridge
0.005833333333333246,-0.00666666666666671,true_vs_self,self_statebridge,-0.0008333333333333526,accuracy,statebridge,true_statebridge
0.9310344827586207,0.7608619105939989,true_vs_self,self_statebridge,0.8507462686567164,cr,statebridge,true_statebridge
-0.7721518987341772,-0.9459459459459459,true_vs_self,self_statebridge,-0.8656716417910448,pr,statebridge,true_statebridge
0.04929577464788737,-0.06481481481481483,true_vs_self,self_statebridge,-0.007462686567164201,si,statebridge,true_statebridge
0.04929577464788737,-0.06481481481481483,true_vs_self,self_statebridge,-0.007462686567164201,sra,statebridge,true_statebridge
0.9420359531772575,0.7733333333333333,true_vs_self,self_statebridge,0.8636363636363636,fcs,statebridge,true_statebridge
0.9577464788732394,0.7857142857142857,true_vs_self,self_statebridge,0.8787878787878788,fws,statebridge,true_statebridge
0.09999999999999998,-0.13114754098360656,true_vs_self,self_statebridge,-0.015151515151515152,follow_selectivity,statebridge,true_statebridge
0.013333333333333308,-0.007500000000000062,true_vs_other,other_statebridge,0.0024999999999999467,accuracy,statebridge,true_statebridge
