condition,mean_communication_seconds,mean_latent_steps,mean_payload_bytes,mean_revision_generated_tokens,mean_revision_generation_seconds,records
none,,,0.0,665.4441666666667,15.709464798569678,1200
true_text,,,1763.3441666666668,566.175,13.283882605632146,1200
self_text,,,1763.3441666666668,489.47083333333336,11.707866177360216,1200
other_text,,,1763.3441666666668,507.67,12.033054756919542,1200
true_statebridge,,,327680.0,446.75916666666666,10.546004968086878,1200
self_statebridge,,,327680.0,336.05916666666667,7.918216848969459,1200
other_statebridge,,,327680.0,472.0675,11.201547649502754,1200
true_latentmas,0.3714217629035314,10.0,329222676.48,377.69,8.348200626969337,1200
self_latentmas,0.3669956111907959,10.0,329222676.48,348.1166666666667,7.784993116855621,1200
other_latentmas,0.36864076495170595,10.0,329222676.48,446.935,9.89686863442262,1200
