condition,directional_examples,pre_correct,pre_accuracy,post_correct,post_accuracy,cr_numerator,cr_denominator,cr,pr_numerator,pr_denominator,pr,sr_numerator,sr_denominator,sr,scr_numerator,scr_denominator,scr,dr,rescues,destructions,net_correction,answer_changes,answer_change_rate,beneficial_changes,harmful_changes,neutral_changes,invalid_outputs,follow_correct_sender_numerator,follow_correct_sender_denominator,follow_correct_sender_rate,follow_wrong_sender_numerator,follow_wrong_sender_denominator,follow_wrong_sender_rate,mean_payload_tokens,mean_payload_characters,mean_payload_states,mean_payload_hidden_dimension,mean_payload_payload_bytes,mean_generation_seconds
none,600,422,0.7033333333333334,422,0.7033333333333334,1,32,0.03125,30,32,0.9375,2,146,0.0136986301369863,389,390,0.9974358974358974,0.0625,3,3,0,8,0.013333333333333334,3,3,2,2,1,31,0.03225806451612903,2,31,0.06451612903225806,,,,,0.0,15.930451242526372
other_latentmas,600,422,0.7033333333333334,423,0.705,1,32,0.03125,31,32,0.96875,1,146,0.00684931506849315,390,390,1.0,0.03125,2,1,1,4,0.006666666666666667,2,1,1,1,0,31,0.0,1,31,0.03225806451612903,,,,,,9.445949764649074
other_statebridge,600,422,0.7033333333333334,420,0.7,2,32,0.0625,29,32,0.90625,4,146,0.0273972602739726,385,390,0.9871794871794872,0.09375,6,8,-2,15,0.025,6,8,1,1,1,31,0.03225806451612903,3,31,0.0967741935483871,,,64.0,2560.0,327680.0,11.692765691280364
other_text,600,422,0.7033333333333334,418,0.6966666666666667,0,32,0.0,32,32,1.0,2,146,0.0136986301369863,384,390,0.9846153846153847,0.0,2,6,-4,10,0.016666666666666666,2,6,2,1,0,31,0.0,0,31,0.0,415.69,1791.1183333333333,,,1793.7266666666667,12.23808045943578
self_latentmas,600,422,0.7033333333333334,420,0.7,0,32,0.0,31,32,0.96875,0,146,0.0,389,390,0.9974358974358974,0.03125,0,2,-2,3,0.005,0,2,1,2,0,31,0.0,0,31,0.0,,,,,,7.656977005799612
self_statebridge,600,422,0.7033333333333334,423,0.705,1,32,0.03125,32,32,1.0,0,146,0.0,390,390,1.0,0.0,1,0,1,2,0.0033333333333333335,1,0,1,0,0,31,0.0,0,31,0.0,,,64.0,2560.0,327680.0,7.733687245845795
self_text,600,422,0.7033333333333334,423,0.705,1,32,0.03125,32,32,1.0,0,146,0.0,390,390,1.0,0.0,1,0,1,1,0.0016666666666666668,1,0,0,1,0,31,0.0,0,31,0.0,415.69,1791.1183333333333,,,1793.7266666666667,12.155965946118037
true_latentmas,600,422,0.7033333333333334,423,0.705,10,32,0.3125,23,32,0.71875,1,146,0.00684931506849315,389,390,0.9974358974358974,0.28125,11,10,1,32,0.05333333333333334,11,10,11,1,9,31,0.2903225806451613,9,31,0.2903225806451613,,,,,,8.122784328460693
true_statebridge,600,422,0.7033333333333334,427,0.7116666666666667,30,32,0.9375,7,32,0.21875,0,146,0.0,390,390,1.0,0.78125,30,25,5,79,0.13166666666666665,30,25,24,0,29,31,0.9354838709677419,25,31,0.8064516129032258,,,64.0,2560.0,327680.0,10.104718479315439
true_text,600,422,0.7033333333333334,428,0.7133333333333334,27,32,0.84375,11,32,0.34375,0,146,0.0,390,390,1.0,0.65625,27,21,6,68,0.11333333333333333,27,21,20,0,26,31,0.8387096774193549,21,31,0.6774193548387096,415.69,1791.1183333333333,,,1793.7266666666667,13.190402035713197
