accuracy,accuracy_ci95_high,accuracy_ci95_low,accuracy_denominator,accuracy_numerator,answer_change_rate,condition,cr,cr_ci95_high,cr_ci95_low,cr_denominator,cr_numerator,destructions,directional_examples,fcs,fcs_ci95_high,fcs_ci95_low,fcs_denominator,fcs_numerator,follow_selectivity,follow_selectivity_ci95_high,follow_selectivity_ci95_low,fws,fws_ci95_high,fws_ci95_low,fws_denominator,fws_numerator,invalid_outputs,mean_generated_tokens,mean_input_tokens,mean_latency_seconds,mean_payload_bytes,mean_payload_states,mean_payload_tokens,net_correction,pr,pr_ci95_high,pr_ci95_low,pr_denominator,pr_numerator,rescues,scr,scr_ci95_high,scr_ci95_low,scr_denominator,scr_numerator,si,si_ci95_high,si_ci95_low,sr,sr_ci95_high,sr_ci95_low,sr_denominator,sr_numerator,sra,sra_ci95_high,sra_ci95_low,sra_denominator,sra_numerator,total_generation_seconds,total_generations
0.7033333333333334,0.7516666666666667,0.655,600,422,0.013333333333333334,none,0.03125,0.10344827586206896,0.0,32,1,3,600,0.03225806451612903,0.10714285714285714,0.0,31,1,-0.03225806451612903,0.07692307692307693,-0.14705882352941177,0.06451612903225806,0.16129032258064516,0.0,31,2,2,671.165,810.1333333333333,15.930451242526372,0.0,,,0,0.9375,1.0,0.8409090909090909,32,30,3,0.9974358974358974,1.0,0.9919354838709677,390,389,0.484375,0.537037037037037,0.4285714285714286,0.0136986301369863,0.03509080800593027,0.0,146,2,0.484375,0.5370370370370371,0.42857142857142855,64,31,9558.270745515823,600
0.705,0.7533333333333333,0.6566666666666666,600,423,0.006666666666666667,other_latentmas,0.03125,0.10526315789473684,0.0,32,1,1,600,0.0,0.0,0.0,31,0,-0.03225806451612903,0.0,-0.1111111111111111,0.03225806451612903,0.1111111111111111,0.0,31,1,1,439.465,833.1333333333333,9.445949764649074,0.0,,,1,0.96875,1.0,0.8928571428571429,32,31,2,1.0,1.0,1.0,390,390,0.5,0.5454545454545454,0.45454545454545453,0.00684931506849315,0.022727272727272728,0.0,146,1,0.5,0.5454545454545454,0.45454545454545453,64,32,5667.569858789444,600
0.7,0.7483333333333333,0.6516666666666666,600,420,0.025,other_statebridge,0.0625,0.16,0.0,32,2,8,600,0.03225806451612903,0.10810810810810811,0.0,31,1,-0.06451612903225806,0.05882352941176471,-0.19999999999999998,0.0967741935483871,0.21212121212121213,0.0,31,3,1,489.865,897.1333333333333,11.692765691280364,327680.0,64.0,,-2,0.90625,1.0,0.7931034482758621,32,29,6,0.9871794871794872,0.9975369458128078,0.9728247417133018,390,385,0.484375,0.5535714285714286,0.41379310344827586,0.0273972602739726,0.05682177790563861,0.006329113924050633,146,4,0.484375,0.5535714285714286,0.41379310344827586,64,31,7015.659414768219,600
0.6966666666666667,0.745,0.6483333333333333,600,418,0.016666666666666666,other_text,0.0,0.0,0.0,32,0,6,600,0.0,0.0,0.0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,1,513.085,1237.6166666666666,12.23808045943578,1793.7266666666667,,415.69,-4,1.0,1.0,1.0,32,32,2,0.9846153846153847,0.9973262032085561,0.9689078691709845,390,384,0.5,0.5,0.5,0.0136986301369863,0.03529411764705882,0.0,146,2,0.5,0.5,0.5,64,32,7342.8482756614685,600
0.7,0.7483333333333333,0.6516666666666666,600,420,0.005,self_latentmas,0.0,0.0,0.0,32,0,2,600,0.0,0.0,0.0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,2,352.15,833.1333333333333,7.656977005799612,0.0,,,-2,0.96875,1.0,0.8928571428571429,32,31,0,0.9974358974358974,1.0,0.9918918918918919,390,389,0.484375,0.5,0.44642857142857145,0.0,0.0,0.0,146,0,0.484375,0.5,0.44642857142857145,64,31,4594.186203479767,600
0.705,0.7533333333333333,0.6566666666666666,600,423,0.0033333333333333335,self_statebridge,0.03125,0.10526315789473684,0.0,32,1,0,600,0.0,0.0,0.0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,0,330.2633333333333,897.1333333333333,7.733687245845795,327680.0,64.0,,1,1.0,1.0,1.0,32,32,1,1.0,1.0,1.0,390,390,0.515625,0.5526315789473684,0.5,0.0,0.0,0.0,146,0,0.515625,0.5526315789473685,0.5,64,33,4640.212347507477,600
0.705,0.7533333333333333,0.6566666666666666,600,423,0.0016666666666666668,self_text,0.03125,0.10526315789473684,0.0,32,1,0,600,0.0,0.0,0.0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,1,501.065,1237.6166666666666,12.155965946118037,1793.7266666666667,,415.69,1,1.0,1.0,1.0,32,32,1,1.0,1.0,1.0,390,390,0.515625,0.5526315789473684,0.5,0.0,0.0,0.0,146,0,0.515625,0.5526315789473685,0.5,64,33,7293.579567670822,600
0.705,0.755,0.655,600,423,0.05333333333333334,true_latentmas,0.3125,0.4827586206896552,0.15151515151515152,32,10,10,600,0.2903225806451613,0.4594594594594595,0.13333333333333333,31,9,0.0,0.2,-0.2,0.2903225806451613,0.4583333333333333,0.13509009009009013,31,9,1,379.6166666666667,833.1333333333333,8.122784328460693,0.0,,,1,0.71875,0.8696002805049083,0.5517241379310345,32,23,11,0.9974358974358974,1.0,0.9919354838709677,390,389,0.515625,0.62,0.41379310344827586,0.00684931506849315,0.023076923076923078,0.0,146,1,0.515625,0.62,0.41379310344827586,64,33,4873.670597076416,600
0.7116666666666667,0.76,0.6616666666666666,600,427,0.13166666666666665,true_statebridge,0.9375,1.0,0.84375,32,30,25,600,0.9354838709677419,1.0,0.8387096774193549,31,29,0.12903225806451613,0.3076923076923077,-0.038461538461538436,0.8064516129032258,0.9354838709677419,0.6551724137931034,31,25,0,428.995,897.1333333333333,10.104718479315439,327680.0,64.0,,5,0.21875,0.37142857142857144,0.08108108108108109,32,7,30,1.0,1.0,1.0,390,390,0.578125,0.6666666666666667,0.5,0.0,0.0,0.0,146,0,0.578125,0.6666666666666666,0.5,64,37,6062.831087589264,600
0.7133333333333334,0.7633333333333333,0.6633333333333333,600,428,0.11333333333333333,true_text,0.84375,0.9629629629629629,0.7096774193548387,32,27,21,600,0.8387096774193549,0.9615384615384616,0.7,31,26,0.16129032258064524,0.4,-0.08000000000000007,0.6774193548387096,0.8387096774193549,0.5135135135135135,31,21,0,566.8183333333334,1237.6166666666666,13.190402035713197,1793.7266666666667,,415.69,6,0.34375,0.5142857142857142,0.18181818181818182,32,11,27,1.0,1.0,1.0,390,390,0.59375,0.7096774193548387,0.4714285714285714,0.0,0.0,0.0,146,0,0.59375,0.7096774193548387,0.4714285714285714,64,38,7914.2412214279175,600
