condition,fcs,fcs_ci95,fcs_denominator,fcs_numerator,follow_selectivity,follow_selectivity_ci95,fws,fws_ci95,fws_denominator,fws_numerator
none,0.03225806451612903,"[0.0, 0.10714285714285714]",31,1,-0.03225806451612903,"[-0.14705882352941177, 0.07692307692307693]",0.06451612903225806,"[0.0, 0.16129032258064516]",31,2
other_latentmas,0.0,"[0.0, 0.0]",31,0,-0.03225806451612903,"[-0.1111111111111111, 0.0]",0.03225806451612903,"[0.0, 0.1111111111111111]",31,1
other_statebridge,0.03225806451612903,"[0.0, 0.10810810810810811]",31,1,-0.06451612903225806,"[-0.19999999999999998, 0.05882352941176471]",0.0967741935483871,"[0.0, 0.21212121212121213]",31,3
other_text,0.0,"[0.0, 0.0]",31,0,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",31,0
self_latentmas,0.0,"[0.0, 0.0]",31,0,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",31,0
self_statebridge,0.0,"[0.0, 0.0]",31,0,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",31,0
self_text,0.0,"[0.0, 0.0]",31,0,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",31,0
true_latentmas,0.2903225806451613,"[0.13333333333333333, 0.4594594594594595]",31,9,0.0,"[-0.2, 0.2]",0.2903225806451613,"[0.13509009009009013, 0.4583333333333333]",31,9
true_statebridge,0.9354838709677419,"[0.8387096774193549, 1.0]",31,29,0.12903225806451613,"[-0.038461538461538436, 0.3076923076923077]",0.8064516129032258,"[0.6551724137931034, 0.9354838709677419]",31,25
true_text,0.8387096774193549,"[0.7, 0.9615384615384616]",31,26,0.16129032258064524,"[-0.08000000000000007, 0.4]",0.6774193548387096,"[0.5135135135135135, 0.8387096774193549]",31,21
