category,ci95_high,ci95_low,comparison,control_condition,denominator,influence_rate,modality,numerator,true_condition
all,0.15166666666666667,0.08666666666666667,true_vs_none,none,600,0.11833333333333333,text,71,true_text
correction_opportunity,0.9655172413793104,0.7272727272727273,true_vs_none,none,34,0.8529411764705882,text,29,true_text
destruction_risk,0.8064516129032258,0.48,true_vs_none,none,34,0.6470588235294118,text,22,true_text
both_wrong,0.21551724137931033,0.06944444444444445,true_vs_none,none,138,0.13768115942028986,text,19,true_text
both_correct,0.008064516129032258,0.0,true_vs_none,none,394,0.0025380710659898475,text,1,true_text
all,0.145,0.08166666666666667,true_vs_self,self_text,600,0.11166666666666666,text,67,true_text
correction_opportunity,0.9655172413793104,0.7272727272727273,true_vs_self,self_text,34,0.8529411764705882,text,29,true_text
destruction_risk,0.8064516129032258,0.48,true_vs_self,self_text,34,0.6470588235294118,text,22,true_text
both_wrong,0.19230769230769232,0.05061708860759495,true_vs_self,self_text,138,0.11594202898550725,text,16,true_text
both_correct,0.0,0.0,true_vs_self,self_text,394,0.0,text,0,true_text
all,0.15833333333333333,0.09333333333333334,true_vs_other,other_text,600,0.125,text,75,true_text
correction_opportunity,0.9444444444444444,0.6888541666666667,true_vs_other,other_text,34,0.8235294117647058,text,28,true_text
destruction_risk,0.8064516129032258,0.48,true_vs_other,other_text,34,0.6470588235294118,text,22,true_text
both_wrong,0.20732282558674633,0.0641025641025641,true_vs_other,other_text,138,0.13043478260869565,text,18,true_text
both_correct,0.031578947368421054,0.005405405405405406,true_vs_other,other_text,394,0.017766497461928935,text,7,true_text
all,0.17333333333333334,0.10166666666666667,true_vs_none,none,600,0.13666666666666666,statebridge,82,true_statebridge
correction_opportunity,0.9230769230769231,0.6486486486486487,true_vs_none,none,34,0.7941176470588235,statebridge,27,true_statebridge
destruction_risk,1.0,0.8048780487804879,true_vs_none,none,34,0.9117647058823529,statebridge,31,true_statebridge
both_wrong,0.2357142857142857,0.07692307692307693,true_vs_none,none,138,0.15217391304347827,statebridge,21,true_statebridge
both_correct,0.017587939698492462,0.0,true_vs_none,none,394,0.007614213197969543,statebridge,3,true_statebridge
all,0.16666666666666666,0.09333333333333334,true_vs_self,self_statebridge,600,0.12833333333333333,statebridge,77,true_statebridge
correction_opportunity,0.9230769230769231,0.6486486486486487,true_vs_self,self_statebridge,34,0.7941176470588235,statebridge,27,true_statebridge
destruction_risk,1.0,0.8048780487804879,true_vs_self,self_statebridge,34,0.9117647058823529,statebridge,31,true_statebridge
both_wrong,0.20492901053864154,0.05172413793103448,true_vs_self,self_statebridge,138,0.12318840579710146,statebridge,17,true_statebridge
both_correct,0.013020833333333334,0.0,true_vs_self,self_statebridge,394,0.005076142131979695,statebridge,2,true_statebridge
all,0.17,0.09833333333333333,true_vs_other,other_statebridge,600,0.13333333333333333,statebridge,80,true_statebridge
correction_opportunity,0.9,0.6129032258064516,true_vs_other,other_statebridge,34,0.7647058823529411,statebridge,26,true_statebridge
destruction_risk,0.9736842105263158,0.7631578947368421,true_vs_other,other_statebridge,34,0.8823529411764706,statebridge,30,true_statebridge
both_wrong,0.23529411764705882,0.07746478873239436,true_vs_other,other_statebridge,138,0.15217391304347827,statebridge,21,true_statebridge
both_correct,0.0175,0.0,true_vs_other,other_statebridge,394,0.007614213197969543,statebridge,3,true_statebridge
