classification,direction,item_id,none_changed,none_followed_sender,none_post_answer,none_post_correct,receiver_pre_answer,receiver_pre_correct,sender_correct,sender_pre_answer,true_latentmas_changed,true_latentmas_followed_sender,true_latentmas_post_answer,true_latentmas_post_correct,true_statebridge_changed,true_statebridge_followed_sender,true_statebridge_post_answer,true_statebridge_post_correct,true_text_changed,true_text_followed_sender,true_text_post_answer,true_text_post_correct
both_correct,A_to_B,0,False,True,c,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,B_to_A,0,False,True,c,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_wrong,A_to_B,5,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,5,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
correction_opportunity,A_to_B,10,True,False,c,False,,False,True,b,True,True,b,True,True,True,b,True,True,True,b,True
destruction_risk,B_to_A,10,False,False,b,True,b,True,False,,False,False,b,True,False,False,b,True,False,False,b,True
both_wrong,A_to_B,19,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,19,False,True,d,False,d,False,False,d,True,False,c,True,False,True,d,False,False,True,d,False
both_correct,A_to_B,20,False,True,b,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_correct,B_to_A,20,False,True,b,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_wrong,A_to_B,26,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,26,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_B,29,True,False,b,True,,False,False,a,True,True,a,False,True,True,a,False,True,True,a,False
both_wrong,B_to_A,29,False,False,a,False,a,False,False,,False,False,a,False,False,False,a,False,False,False,a,False
both_correct,A_to_B,30,False,True,d,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_correct,B_to_A,30,False,True,d,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_correct,A_to_B,40,False,True,c,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,B_to_A,40,False,True,c,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
destruction_risk,A_to_B,49,False,False,a,True,a,True,False,,False,False,a,True,False,False,a,True,False,False,a,True
correction_opportunity,B_to_A,49,True,True,a,True,,False,True,a,True,True,a,True,True,True,a,True,True,True,a,True
both_correct,A_to_B,50,False,True,d,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_correct,B_to_A,50,False,True,d,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_wrong,A_to_B,54,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,B_to_A,54,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_correct,A_to_B,60,False,True,d,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_correct,B_to_A,60,False,True,d,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
destruction_risk,A_to_B,64,False,False,d,True,d,True,False,,False,False,d,True,False,False,d,True,False,False,d,True
correction_opportunity,B_to_A,64,True,True,d,True,,False,True,d,True,True,d,True,True,True,d,True,True,True,d,True
both_wrong,A_to_B,67,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,67,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
