condition,count,denominator,matrix,rate,transition
true_text,129,490,correctness,0.26326530612244897,wrong_to_wrong
true_text,92,490,correctness,0.18775510204081633,wrong_to_correct
true_text,255,490,correctness,0.5204081632653061,correct_to_correct
true_text,14,490,correctness,0.02857142857142857,correct_to_wrong
true_text,4,28,sender_receiver_answer_disagreement,0.14285714285714285,keeps_receiver_answer
true_text,24,28,sender_receiver_answer_disagreement,0.8571428571428571,adopts_sender_answer
true_text,0,28,sender_receiver_answer_disagreement,0.0,changes_to_third_answer
true_text,0,28,sender_receiver_answer_disagreement,0.0,invalid_post_answer
true_statebridge,135,490,correctness,0.2755102040816326,wrong_to_wrong
true_statebridge,86,490,correctness,0.17551020408163265,wrong_to_correct
true_statebridge,255,490,correctness,0.5204081632653061,correct_to_correct
true_statebridge,14,490,correctness,0.02857142857142857,correct_to_wrong
true_statebridge,10,28,sender_receiver_answer_disagreement,0.35714285714285715,keeps_receiver_answer
true_statebridge,16,28,sender_receiver_answer_disagreement,0.5714285714285714,adopts_sender_answer
true_statebridge,0,28,sender_receiver_answer_disagreement,0.0,changes_to_third_answer
true_statebridge,2,28,sender_receiver_answer_disagreement,0.07142857142857142,invalid_post_answer
true_latentmas,144,490,correctness,0.2938775510204082,wrong_to_wrong
true_latentmas,77,490,correctness,0.15714285714285714,wrong_to_correct
true_latentmas,245,490,correctness,0.5,correct_to_correct
true_latentmas,24,490,correctness,0.04897959183673469,correct_to_wrong
true_latentmas,11,28,sender_receiver_answer_disagreement,0.39285714285714285,keeps_receiver_answer
true_latentmas,17,28,sender_receiver_answer_disagreement,0.6071428571428571,adopts_sender_answer
true_latentmas,0,28,sender_receiver_answer_disagreement,0.0,changes_to_third_answer
true_latentmas,0,28,sender_receiver_answer_disagreement,0.0,invalid_post_answer
