classification,direction,item_id,none_changed,none_followed_sender,none_post_answer,none_post_correct,receiver_pre_answer,receiver_pre_correct,sender_correct,sender_pre_answer,true_latentmas_changed,true_latentmas_followed_sender,true_latentmas_post_answer,true_latentmas_post_correct,true_statebridge_changed,true_statebridge_followed_sender,true_statebridge_post_answer,true_statebridge_post_correct,true_text_changed,true_text_followed_sender,true_text_post_answer,true_text_post_correct
correction_opportunity,A_to_B,0,False,False,b,False,b,False,True,d,False,False,b,False,False,False,b,False,False,False,b,False
both_correct,A_to_C,0,True,False,c,False,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
destruction_risk,B_to_A,0,False,False,d,True,d,True,False,b,True,True,b,False,True,True,b,False,True,True,b,False
destruction_risk,B_to_C,0,True,False,c,False,d,True,False,b,False,False,d,True,True,True,b,False,True,True,b,False
both_correct,C_to_A,0,False,True,d,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
correction_opportunity,C_to_B,0,False,False,b,False,b,False,True,d,False,False,b,False,False,False,b,False,False,False,b,False
both_wrong,A_to_B,1,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,A_to_C,1,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,B_to_A,1,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,B_to_C,1,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,C_to_A,1,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,C_to_B,1,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
correction_opportunity,A_to_B,6,False,False,b,False,b,False,True,c,False,False,b,False,True,True,c,True,True,True,c,True
correction_opportunity,A_to_C,6,False,False,b,False,b,False,True,c,True,True,c,True,False,False,b,False,False,False,b,False
destruction_risk,B_to_A,6,False,False,c,True,c,True,False,b,True,True,b,False,False,False,c,True,True,True,b,False
both_wrong,B_to_C,6,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
destruction_risk,C_to_A,6,False,False,c,True,c,True,False,b,False,False,c,True,False,False,c,True,False,False,c,True
both_wrong,C_to_B,6,False,True,b,False,b,False,False,b,False,True,b,False,True,False,a,False,False,True,b,False
correction_opportunity,A_to_B,7,False,False,c,False,c,False,True,a,False,False,c,False,False,False,c,False,True,True,a,True
correction_opportunity,A_to_C,7,False,False,c,False,c,False,True,a,False,False,c,False,False,False,c,False,True,True,a,True
destruction_risk,B_to_A,7,False,False,a,True,a,True,False,c,True,True,c,False,True,True,c,False,True,True,c,False
both_wrong,B_to_C,7,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
destruction_risk,C_to_A,7,False,False,a,True,a,True,False,c,False,False,a,True,True,True,c,False,True,False,b,False
both_wrong,C_to_B,7,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
correction_opportunity,A_to_B,8,True,True,d,True,c,False,True,d,True,True,d,True,True,True,d,True,True,True,d,True
both_correct,A_to_C,8,False,True,d,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
destruction_risk,B_to_A,8,False,False,d,True,d,True,False,c,True,True,c,False,True,False,a,False,True,True,c,False
destruction_risk,B_to_C,8,True,False,b,False,d,True,False,c,True,True,c,False,True,True,c,False,True,True,c,False
both_correct,C_to_A,8,False,True,d,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
correction_opportunity,C_to_B,8,True,True,d,True,c,False,True,d,True,True,d,True,True,True,d,True,True,True,d,True
both_wrong,A_to_B,9,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,A_to_C,9,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,B_to_A,9,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,B_to_C,9,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,C_to_A,9,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,C_to_B,9,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
correction_opportunity,A_to_B,10,False,False,d,False,d,False,True,b,False,False,d,False,True,True,b,True,False,False,d,False
correction_opportunity,A_to_C,10,False,False,d,False,d,False,True,b,False,False,d,False,True,True,b,True,False,False,d,False
destruction_risk,B_to_A,10,False,False,b,True,b,True,False,d,True,True,d,False,True,True,d,False,True,True,d,False
both_wrong,B_to_C,10,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,True,False,b,True
destruction_risk,C_to_A,10,False,False,b,True,b,True,False,d,True,True,d,False,False,False,b,True,True,True,d,False
both_wrong,C_to_B,10,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_B,11,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,A_to_C,11,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,B_to_A,11,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,B_to_C,11,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,C_to_A,11,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,C_to_B,11,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
destruction_risk,A_to_B,12,False,False,b,True,b,True,False,a,False,False,b,True,True,True,a,False,False,False,b,True
both_wrong,A_to_C,12,True,False,b,True,a,False,False,a,False,True,a,False,True,False,b,True,False,True,a,False
correction_opportunity,B_to_A,12,False,False,a,False,a,False,True,b,True,True,b,True,True,True,b,True,True,True,b,True
correction_opportunity,B_to_C,12,False,False,a,False,a,False,True,b,True,True,b,True,True,True,b,True,True,True,b,True
both_wrong,C_to_A,12,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
destruction_risk,C_to_B,12,False,False,b,True,b,True,False,a,True,True,a,False,False,False,b,True,False,False,b,True
both_wrong,A_to_B,14,False,True,d,False,d,False,False,d,False,True,d,False,True,False,a,True,False,True,d,False
both_wrong,A_to_C,14,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,14,True,False,b,False,d,False,False,d,False,True,d,False,False,True,d,False,True,False,b,False
both_wrong,B_to_C,14,False,True,d,False,d,False,False,d,False,True,d,False,True,False,b,False,True,False,b,False
both_wrong,C_to_A,14,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,C_to_B,14,True,False,b,False,d,False,False,d,False,True,d,False,True,False,b,False,False,True,d,False
destruction_risk,A_to_B,15,False,False,c,True,c,True,False,b,True,True,b,False,True,True,b,False,False,False,c,True
both_wrong,A_to_C,15,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
correction_opportunity,B_to_A,15,False,False,b,False,b,False,True,c,True,True,c,True,True,True,c,True,False,False,b,False
correction_opportunity,B_to_C,15,False,False,b,False,b,False,True,c,False,False,b,False,False,False,b,False,False,False,b,False
both_wrong,C_to_A,15,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
destruction_risk,C_to_B,15,False,False,c,True,c,True,False,b,True,True,b,False,True,True,b,False,True,True,b,False
destruction_risk,A_to_B,16,False,False,b,True,b,True,False,c,False,False,b,True,True,True,c,False,True,True,c,False
both_wrong,A_to_C,16,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
correction_opportunity,B_to_A,16,False,False,c,False,c,False,True,b,True,True,b,True,True,True,b,True,False,False,c,False
correction_opportunity,B_to_C,16,False,False,c,False,c,False,True,b,True,True,b,True,False,False,c,False,False,False,c,False
both_wrong,C_to_A,16,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
destruction_risk,C_to_B,16,False,False,b,True,b,True,False,c,True,True,c,False,True,True,c,False,True,True,c,False
both_correct,A_to_B,21,True,False,d,False,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
correction_opportunity,A_to_C,21,True,True,a,True,,False,True,a,True,True,a,True,True,True,a,True,True,True,a,True
both_correct,B_to_A,21,False,True,a,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
correction_opportunity,B_to_C,21,True,True,a,True,,False,True,a,True,True,a,True,True,True,a,True,True,True,a,True
destruction_risk,C_to_A,21,False,False,a,True,a,True,False,,True,True,,False,False,False,a,True,False,False,a,True
destruction_risk,C_to_B,21,False,False,a,True,a,True,False,,True,True,,False,True,False,d,False,False,False,a,True
correction_opportunity,A_to_B,22,False,False,b,False,b,False,True,d,True,True,d,True,True,True,d,True,True,True,d,True
correction_opportunity,A_to_C,22,False,False,b,False,b,False,True,d,True,True,d,True,True,True,d,True,True,True,d,True
destruction_risk,B_to_A,22,False,False,d,True,d,True,False,b,True,True,b,False,False,False,d,True,True,True,b,False
both_wrong,B_to_C,22,False,True,b,False,b,False,False,b,True,False,,False,False,True,b,False,False,True,b,False
destruction_risk,C_to_A,22,False,False,d,True,d,True,False,b,True,True,b,False,False,False,d,True,True,True,b,False
both_wrong,C_to_B,22,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,A_to_B,24,False,False,d,False,d,False,False,a,True,True,a,False,False,False,d,False,True,True,a,False
both_wrong,A_to_C,24,False,True,a,False,a,False,False,a,True,False,c,False,False,True,a,False,False,True,a,False
both_wrong,B_to_A,24,False,False,a,False,a,False,False,d,True,True,d,False,False,False,a,False,True,True,d,False
both_wrong,B_to_C,24,False,False,a,False,a,False,False,d,True,True,d,False,True,True,d,False,False,False,a,False
both_wrong,C_to_A,24,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,C_to_B,24,False,False,d,False,d,False,False,a,True,True,a,False,False,False,d,False,False,False,d,False
both_wrong,A_to_B,28,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,A_to_C,28,False,False,b,False,b,False,False,a,False,False,b,False,False,False,b,False,True,True,a,False
both_wrong,B_to_A,28,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_C,28,False,False,b,False,b,False,False,a,True,True,a,False,True,True,a,False,True,True,a,False
both_wrong,C_to_A,28,False,False,a,False,a,False,False,b,False,False,a,False,False,False,a,False,False,False,a,False
both_wrong,C_to_B,28,False,False,a,False,a,False,False,b,True,True,b,False,False,False,a,False,False,False,a,False
destruction_risk,A_to_B,30,False,False,b,True,b,True,False,a,False,False,b,True,True,True,a,False,True,True,a,False
both_wrong,A_to_C,30,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
correction_opportunity,B_to_A,30,True,True,b,True,a,False,True,b,True,True,b,True,True,True,b,True,False,False,a,False
correction_opportunity,B_to_C,30,False,False,a,False,a,False,True,b,True,True,b,True,False,False,a,False,True,True,b,True
both_wrong,C_to_A,30,True,False,b,True,a,False,False,a,True,False,b,True,False,True,a,False,False,True,a,False
destruction_risk,C_to_B,30,False,False,b,True,b,True,False,a,False,False,b,True,False,False,b,True,False,False,b,True
correction_opportunity,A_to_B,31,False,False,c,False,c,False,True,a,True,True,a,True,True,True,a,True,True,True,a,True
correction_opportunity,A_to_C,31,False,False,d,False,d,False,True,a,False,False,d,False,False,False,d,False,True,True,a,True
destruction_risk,B_to_A,31,False,False,a,True,a,True,False,c,False,False,a,True,True,True,c,False,False,False,a,True
both_wrong,B_to_C,31,False,False,d,False,d,False,False,c,False,False,d,False,True,True,c,False,True,True,c,False
destruction_risk,C_to_A,31,False,False,a,True,a,True,False,d,True,True,d,False,False,False,a,True,True,True,d,False
both_wrong,C_to_B,31,False,False,c,False,c,False,False,d,True,True,d,False,True,True,d,False,True,True,d,False
both_wrong,A_to_B,32,True,False,d,False,,False,False,,True,False,d,False,True,False,c,False,True,False,d,False
both_wrong,A_to_C,32,True,False,d,False,,False,False,,True,False,c,False,True,False,a,True,True,False,b,False
both_wrong,B_to_A,32,True,False,b,False,,False,False,,True,False,d,False,True,False,b,False,True,False,c,False
both_wrong,B_to_C,32,True,False,d,False,,False,False,,True,False,d,False,True,False,a,True,True,False,d,False
both_wrong,C_to_A,32,True,False,b,False,,False,False,,True,False,d,False,True,False,c,False,True,False,c,False
both_wrong,C_to_B,32,True,False,d,False,,False,False,,True,False,d,False,True,False,d,False,True,False,d,False
both_wrong,A_to_B,34,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_C,34,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,34,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_C,34,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,C_to_A,34,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,C_to_B,34,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
destruction_risk,A_to_B,35,False,False,c,True,c,True,False,d,True,True,d,False,False,False,c,True,False,False,c,True
destruction_risk,A_to_C,35,False,False,c,True,c,True,False,d,True,True,d,False,False,False,c,True,False,False,c,True
correction_opportunity,B_to_A,35,True,True,c,True,d,False,True,c,False,False,d,False,True,True,c,True,True,True,c,True
both_correct,B_to_C,35,False,True,c,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
correction_opportunity,C_to_A,35,False,False,d,False,d,False,True,c,True,True,c,True,True,True,c,True,True,True,c,True
both_correct,C_to_B,35,False,True,c,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_wrong,A_to_B,38,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_C,38,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,38,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_C,38,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,C_to_A,38,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,C_to_B,38,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_B,41,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
