answer_change_rate,category,condition,directional_examples,follow_sender_rate,post_accuracy
0.6428571428571429,correction_opportunity,none,28,0.07142857142857142,0.5714285714285714
0.17857142857142858,destruction_risk,none,28,0.03571428571428571,0.9285714285714286
0.25,both_wrong,none,92,0.11956521739130435,0.09782608695652174
0.0,both_correct,none,20,0.1,1.0
0.8571428571428571,correction_opportunity,true_latentmas,28,0.32142857142857145,0.8571428571428571
0.5714285714285714,destruction_risk,true_latentmas,28,0.32142857142857145,0.6071428571428571
0.30434782608695654,both_wrong,true_latentmas,92,0.20652173913043478,0.06521739130434782
0.3,both_correct,true_latentmas,20,0.25,1.0
0.75,correction_opportunity,true_statebridge,28,0.17857142857142858,0.6785714285714286
0.10714285714285714,destruction_risk,true_statebridge,28,0.03571428571428571,0.9642857142857143
0.2717391304347826,both_wrong,true_statebridge,92,0.13043478260869565,0.08695652173913043
0.25,both_correct,true_statebridge,20,0.15,0.95
0.7857142857142857,correction_opportunity,true_text,28,0.39285714285714285,0.75
0.21428571428571427,destruction_risk,true_text,28,0.03571428571428571,0.9285714285714286
0.34782608695652173,both_wrong,true_text,92,0.15217391304347827,0.09782608695652174
0.25,both_correct,true_text,20,0.2,1.0
