classification,direction,item_id,none_changed,none_followed_sender,none_post_answer,none_post_correct,receiver_pre_answer,receiver_pre_correct,sender_correct,sender_pre_answer,true_latentmas_changed,true_latentmas_followed_sender,true_latentmas_post_answer,true_latentmas_post_correct,true_statebridge_changed,true_statebridge_followed_sender,true_statebridge_post_answer,true_statebridge_post_correct,true_text_changed,true_text_followed_sender,true_text_post_answer,true_text_post_correct
both_wrong,A_to_B,4,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,A_to_C,4,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_A,4,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_C,4,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,C_to_A,4,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,C_to_B,4,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_correct,A_to_B,10,False,True,b,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
correction_opportunity,A_to_C,10,False,False,d,False,d,False,True,b,True,True,b,True,False,False,d,False,False,False,d,False
both_correct,B_to_A,10,False,True,b,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
correction_opportunity,B_to_C,10,False,False,d,False,d,False,True,b,True,True,b,True,False,False,d,False,False,False,d,False
destruction_risk,C_to_A,10,False,False,b,True,b,True,False,d,True,True,d,False,False,False,b,True,True,True,d,False
destruction_risk,C_to_B,10,False,False,b,True,b,True,False,d,True,True,d,False,False,False,b,True,False,False,b,True
both_wrong,A_to_B,11,False,False,a,False,a,False,False,c,True,True,c,False,False,False,a,False,True,True,c,False
both_wrong,A_to_C,11,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,B_to_A,11,False,False,c,False,c,False,False,a,True,True,a,False,False,False,c,False,True,True,a,False
both_wrong,B_to_C,11,False,False,c,False,c,False,False,a,True,True,a,False,True,True,a,False,True,True,a,False
both_wrong,C_to_A,11,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,C_to_B,11,False,False,a,False,a,False,False,c,True,True,c,False,False,False,a,False,True,True,c,False
both_wrong,A_to_B,18,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,A_to_C,18,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_A,18,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_C,18,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,C_to_A,18,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,C_to_B,18,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,A_to_B,20,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,A_to_C,20,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_A,20,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_C,20,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,C_to_A,20,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,C_to_B,20,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
correction_opportunity,A_to_B,23,False,False,b,False,b,False,True,d,True,True,d,True,False,False,b,False,False,False,b,False
correction_opportunity,A_to_C,23,False,False,b,False,b,False,True,d,True,True,d,True,True,True,d,True,True,True,d,True
destruction_risk,B_to_A,23,False,False,d,True,d,True,False,b,True,True,b,False,True,True,b,False,True,True,b,False
both_wrong,B_to_C,23,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
destruction_risk,C_to_A,23,False,False,d,True,d,True,False,b,True,True,b,False,True,True,b,False,True,True,b,False
both_wrong,C_to_B,23,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,A_to_B,24,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_C,24,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,24,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_C,24,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,C_to_A,24,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,C_to_B,24,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_B,25,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,A_to_C,25,False,True,b,False,b,False,False,b,True,False,d,True,False,True,b,False,False,True,b,False
both_wrong,B_to_A,25,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,B_to_C,25,True,False,d,True,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,C_to_A,25,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,C_to_B,25,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,A_to_B,26,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,A_to_C,26,True,True,b,False,,False,False,b,True,True,b,False,True,True,b,False,True,True,b,False
both_wrong,B_to_A,26,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,B_to_C,26,True,True,b,False,,False,False,b,True,True,b,False,True,True,b,False,True,True,b,False
both_wrong,C_to_A,26,False,False,b,False,b,False,False,,False,False,b,False,False,False,b,False,True,True,,False
both_wrong,C_to_B,26,False,False,b,False,b,False,False,,False,False,b,False,False,False,b,False,False,False,b,False
correction_opportunity,A_to_B,29,False,False,b,False,b,False,True,a,True,True,a,True,False,False,b,False,False,False,b,False
both_correct,A_to_C,29,False,True,a,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
destruction_risk,B_to_A,29,False,False,a,True,a,True,False,b,True,True,b,False,True,True,b,False,True,True,b,False
destruction_risk,B_to_C,29,False,False,a,True,a,True,False,b,False,False,a,True,True,True,b,False,True,True,b,False
both_correct,C_to_A,29,False,True,a,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
correction_opportunity,C_to_B,29,False,False,b,False,b,False,True,a,True,True,a,True,False,False,b,False,True,True,a,True
destruction_risk,A_to_B,31,False,False,b,True,b,True,False,a,True,True,a,False,True,True,a,False,True,True,a,False
both_wrong,A_to_C,31,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
correction_opportunity,B_to_A,31,False,False,a,False,a,False,True,b,False,False,a,False,True,True,b,True,True,True,b,True
correction_opportunity,B_to_C,31,False,False,a,False,a,False,True,b,False,False,a,False,True,True,b,True,True,True,b,True
both_wrong,C_to_A,31,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,True,False,b,True
destruction_risk,C_to_B,31,False,False,b,True,b,True,False,a,False,False,b,True,True,True,a,False,True,True,a,False
both_wrong,A_to_B,37,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_C,37,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,37,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_C,37,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,C_to_A,37,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,C_to_B,37,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_B,38,True,False,d,True,c,False,False,c,True,False,d,True,False,True,c,False,True,False,d,True
destruction_risk,A_to_C,38,False,False,d,True,d,True,False,c,False,False,d,True,False,False,d,True,False,False,d,True
both_wrong,B_to_A,38,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
destruction_risk,B_to_C,38,False,False,d,True,d,True,False,c,False,False,d,True,False,False,d,True,False,False,d,True
correction_opportunity,C_to_A,38,False,False,c,False,c,False,True,d,True,True,d,True,True,True,d,True,True,True,d,True
correction_opportunity,C_to_B,38,True,True,d,True,c,False,True,d,True,True,d,True,True,True,d,True,True,True,d,True
both_wrong,A_to_B,39,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,A_to_C,39,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,B_to_A,39,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,B_to_C,39,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,C_to_A,39,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,C_to_B,39,False,True,c,False,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,A_to_B,40,False,False,c,False,c,False,False,b,True,True,b,False,True,True,b,False,True,True,b,False
both_wrong,A_to_C,40,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,B_to_A,40,False,False,b,False,b,False,False,c,True,True,c,False,True,True,c,False,True,True,c,False
both_wrong,B_to_C,40,False,False,b,False,b,False,False,c,True,True,c,False,True,True,c,False,True,True,c,False
both_wrong,C_to_A,40,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,C_to_B,40,False,False,c,False,c,False,False,b,True,True,b,False,True,True,b,False,True,True,b,False
both_wrong,A_to_B,41,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
destruction_risk,A_to_C,41,False,False,d,True,d,True,False,b,True,True,b,False,False,False,d,True,True,True,b,False
both_wrong,B_to_A,41,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
destruction_risk,B_to_C,41,False,False,d,True,d,True,False,b,True,True,b,False,False,False,d,True,False,False,d,True
correction_opportunity,C_to_A,41,False,False,b,False,b,False,True,d,False,False,b,False,False,False,b,False,False,False,b,False
correction_opportunity,C_to_B,41,False,False,b,False,b,False,True,d,False,False,b,False,True,True,d,True,False,False,b,False
both_wrong,A_to_B,43,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,A_to_C,43,False,True,a,False,a,False,False,a,False,True,a,False,True,False,,False,False,True,a,False
both_wrong,B_to_A,43,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_C,43,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,C_to_A,43,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,C_to_B,43,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,A_to_B,45,False,False,b,False,b,False,False,a,False,False,b,False,False,False,b,False,True,True,a,False
destruction_risk,A_to_C,45,False,False,d,True,d,True,False,a,False,False,d,True,False,False,d,True,True,True,a,False
both_wrong,B_to_A,45,False,False,a,False,a,False,False,b,True,True,b,False,True,True,b,False,True,True,b,False
destruction_risk,B_to_C,45,False,False,d,True,d,True,False,b,False,False,d,True,False,False,d,True,False,False,d,True
correction_opportunity,C_to_A,45,False,False,a,False,a,False,True,d,True,True,d,True,True,True,d,True,True,True,d,True
correction_opportunity,C_to_B,45,False,False,b,False,b,False,True,d,True,True,d,True,False,False,b,False,True,True,d,True
both_wrong,A_to_B,46,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
destruction_risk,A_to_C,46,False,False,d,True,d,True,False,b,True,True,b,False,False,False,d,True,True,True,b,False
both_wrong,B_to_A,46,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
destruction_risk,B_to_C,46,False,False,d,True,d,True,False,b,True,True,b,False,False,False,d,True,True,True,b,False
correction_opportunity,C_to_A,46,False,False,b,False,b,False,True,d,False,False,b,False,False,False,b,False,True,True,d,True
correction_opportunity,C_to_B,46,False,False,b,False,b,False,True,d,True,True,d,True,False,False,b,False,True,True,d,True
both_wrong,A_to_B,52,True,False,c,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,A_to_C,52,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_A,52,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_C,52,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,C_to_A,52,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,C_to_B,52,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,A_to_B,54,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_C,54,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,54,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_C,54,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,C_to_A,54,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,C_to_B,54,False,True,d,False,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_B,55,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
destruction_risk,A_to_C,55,False,False,d,True,d,True,False,b,False,False,d,True,False,False,d,True,True,True,b,False
both_wrong,B_to_A,55,False,True,b,False,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
destruction_risk,B_to_C,55,False,False,d,True,d,True,False,b,True,True,b,False,False,False,d,True,False,False,d,True
correction_opportunity,C_to_A,55,False,False,b,False,b,False,True,d,True,True,d,True,True,True,d,True,True,True,d,True
correction_opportunity,C_to_B,55,False,False,b,False,b,False,True,d,True,True,d,True,True,True,d,True,True,True,d,True
both_wrong,A_to_B,56,False,True,a,False,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
