category,ci95_high,ci95_low,comparison,control_condition,denominator,influence_rate,modality,numerator,true_condition
all,0.3589769647696477,0.26253687315634217,true_vs_none,none,720,0.30972222222222223,text,223,true_text
correction_opportunity,0.8173076923076923,0.6451380272952854,true_vs_none,none,116,0.7327586206896551,text,85,true_text
destruction_risk,0.669816037735849,0.4642857142857143,true_vs_none,none,116,0.5689655172413793,text,66,true_text
both_wrong,0.22477306926848212,0.11232946202109198,true_vs_none,none,436,0.1651376146788991,text,72,true_text
both_correct,0.0,0.0,true_vs_none,none,52,0.0,text,0,true_text
all,0.22458484175305796,0.15300295783827142,true_vs_none,none,720,0.18888888888888888,statebridge,136,true_statebridge
correction_opportunity,0.6170212765957447,0.40999590163934424,true_vs_none,none,116,0.5086206896551724,statebridge,59,true_statebridge
destruction_risk,0.367936941410129,0.1724137931034483,true_vs_none,none,116,0.2672413793103448,statebridge,31,true_statebridge
both_wrong,0.14754564083457522,0.06585340760815016,true_vs_none,none,436,0.10550458715596331,statebridge,46,true_statebridge
both_correct,0.0,0.0,true_vs_none,none,52,0.0,statebridge,0,true_statebridge
all,0.3510953356752537,0.2553681981101336,true_vs_none,none,720,0.30277777777777776,latentmas,218,true_latentmas
correction_opportunity,0.7586206896551724,0.5634672619047619,true_vs_none,none,116,0.6637931034482759,latentmas,77,true_latentmas
destruction_risk,0.745462249614792,0.5757154882154882,true_vs_none,none,116,0.6637931034482759,latentmas,77,true_latentmas
both_wrong,0.19867157199418223,0.09911844664047306,true_vs_none,none,436,0.14678899082568808,latentmas,64,true_latentmas
both_correct,0.0,0.0,true_vs_none,none,52,0.0,latentmas,0,true_latentmas
