answer_change_rate,category,condition,directional_examples,follow_sender_rate,post_accuracy
0.025,correction_opportunity,none,40,0.025,0.025
0.025,destruction_risk,none,40,0.0,0.975
0.04861111111111111,both_wrong,none,144,0.7638888888888888,0.034722222222222224
0.0,both_correct,none,38,1.0,1.0
0.75,correction_opportunity,true_latentmas,40,0.75,0.75
0.725,destruction_risk,true_latentmas,40,0.725,0.275
0.13194444444444445,both_wrong,true_latentmas,144,0.9097222222222222,0.013888888888888888
0.0,both_correct,true_latentmas,38,1.0,1.0
0.475,correction_opportunity,true_statebridge,40,0.475,0.475
0.375,destruction_risk,true_statebridge,40,0.375,0.625
0.0763888888888889,both_wrong,true_statebridge,144,0.8541666666666666,0.006944444444444444
0.0,both_correct,true_statebridge,38,1.0,1.0
0.75,correction_opportunity,true_text,40,0.75,0.75
0.675,destruction_risk,true_text,40,0.675,0.325
0.1527777777777778,both_wrong,true_text,144,0.9444444444444444,0.006944444444444444
0.0,both_correct,true_text,38,1.0,1.0
