dataset,condition,cr_pct,pr_pct,si_pct,cr_den,pr_den
MedQA,No Message,6.8966,98.2759,52.5862,116,116
MedQA,Full Text,80.1724,42.2414,61.2069,116,116
MedQA,StateBridge,57.7586,75.0,66.3793,116,116
MedQA,LatentMAS,69.8276,32.7586,51.2931,116,116
ARC-C,No Message,8.1633,92.8571,50.5102,98,98
ARC-C,Full Text,80.6122,34.6939,57.6531,98,98
ARC-C,StateBridge,69.3878,44.898,57.1429,98,98
ARC-C,LatentMAS,58.1633,45.9184,52.0408,98,98
GSM8K,No Message,13.0435,92.3913,52.7174,92,92
GSM8K,Full Text,51.087,52.1739,51.6304,92,92
GSM8K,StateBridge,39.1304,73.913,56.5217,92,92
GSM8K,LatentMAS,59.7826,46.7391,53.2609,92,92
GPQA-D,No Message,14.0351,96.4912,55.2632,114,114
GPQA-D,Full Text,74.5614,47.3684,60.9649,114,114
GPQA-D,StateBridge,64.0351,51.7544,57.8947,114,114
GPQA-D,LatentMAS,61.4035,50.8772,56.1404,114,114
HumanEval+,No Message,57.1429,92.8571,75.0,28,28
HumanEval+,Full Text,75.0,92.8571,83.9286,28,28
HumanEval+,StateBridge,67.8571,96.4286,82.1429,28,28
HumanEval+,LatentMAS,85.7143,60.7143,73.2143,28,28
