status,dataset,condition,items,full_set_records,all_correct_items,skipped_records,measured_retained,measured_skipped_sample,imputed_records,disjoint_check,denominator_matches_population,scr_source,skipped_item_accuracy_pct,estimated_accuracy_pct,ci_low_pct,ci_high_pct,item_unit_accuracy_pct,formula,assumption
"ESTIMATED, NOT MEASURED FULL-SET ACCURACY",MedQA,No Message,300,1800,180,1080,720,34,1046,YES: retained scope and skipped scope partition the item set; sample rows are read from all_correct_sample.jsonl only,YES: items x 6 == retained + skipped,"measured on the skipped population itself (all-correct items), NOT borrowed from mixed-item both_correct pairs",100.0,70.2778,67.3281,73.2274,70.25,(retained_correct + sample_correct + imputed_records * skipped_item_accuracy) / (items * 6),the unsampled skipped records behave like the sampled ones from the same population
"ESTIMATED, NOT MEASURED FULL-SET ACCURACY",MedQA,Full Text,300,1800,180,1080,720,34,1046,YES: retained scope and skipped scope partition the item set; sample rows are read from all_correct_sample.jsonl only,YES: items x 6 == retained + skipped,"measured on the skipped population itself (all-correct items), NOT borrowed from mixed-item both_correct pairs",100.0,70.8889,67.9392,73.8385,71.0833,(retained_correct + sample_correct + imputed_records * skipped_item_accuracy) / (items * 6),the unsampled skipped records behave like the sampled ones from the same population
"ESTIMATED, NOT MEASURED FULL-SET ACCURACY",MedQA,StateBridge,300,1800,180,1080,720,34,1046,YES: retained scope and skipped scope partition the item set; sample rows are read from all_correct_sample.jsonl only,YES: items x 6 == retained + skipped,"measured on the skipped population itself (all-correct items), NOT borrowed from mixed-item both_correct pairs",100.0,71.5556,68.6059,74.5052,72.0,(retained_correct + sample_correct + imputed_records * skipped_item_accuracy) / (items * 6),the unsampled skipped records behave like the sampled ones from the same population
"ESTIMATED, NOT MEASURED FULL-SET ACCURACY",MedQA,LatentMAS,300,1800,180,1080,720,34,1046,YES: retained scope and skipped scope partition the item set; sample rows are read from all_correct_sample.jsonl only,YES: items x 6 == retained + skipped,"measured on the skipped population itself (all-correct items), NOT borrowed from mixed-item both_correct pairs",100.0,69.8889,66.9392,72.8385,69.9167,(retained_correct + sample_correct + imputed_records * skipped_item_accuracy) / (items * 6),the unsampled skipped records behave like the sampled ones from the same population
"ESTIMATED, NOT MEASURED FULL-SET ACCURACY",ARC-C,No Message,1165,6990,1067,6402,588,208,6194,YES: retained scope and skipped scope partition the item set; sample rows are read from all_correct_sample.jsonl only,YES: items x 6 == retained + skipped,"measured on the skipped population itself (all-correct items), NOT borrowed from mixed-item both_correct pairs",100.0,93.9342,93.1307,94.7377,94.1631,(retained_correct + sample_correct + imputed_records * skipped_item_accuracy) / (items * 6),the unsampled skipped records behave like the sampled ones from the same population
"ESTIMATED, NOT MEASURED FULL-SET ACCURACY",ARC-C,Full Text,1165,6990,1067,6402,588,208,6194,YES: retained scope and skipped scope partition the item set; sample rows are read from all_correct_sample.jsonl only,YES: items x 6 == retained + skipped,"measured on the skipped population itself (all-correct items), NOT borrowed from mixed-item both_correct pairs",100.0,94.1345,93.331,94.9379,94.1845,(retained_correct + sample_correct + imputed_records * skipped_item_accuracy) / (items * 6),the unsampled skipped records behave like the sampled ones from the same population
"ESTIMATED, NOT MEASURED FULL-SET ACCURACY",ARC-C,StateBridge,1165,6990,1067,6402,588,208,6194,YES: retained scope and skipped scope partition the item set; sample rows are read from all_correct_sample.jsonl only,YES: items x 6 == retained + skipped,"measured on the skipped population itself (all-correct items), NOT borrowed from mixed-item both_correct pairs",100.0,94.1059,93.3024,94.9093,94.0987,(retained_correct + sample_correct + imputed_records * skipped_item_accuracy) / (items * 6),the unsampled skipped records behave like the sampled ones from the same population
"ESTIMATED, NOT MEASURED FULL-SET ACCURACY",ARC-C,LatentMAS,1165,6990,1067,6402,588,208,6194,YES: retained scope and skipped scope partition the item set; sample rows are read from all_correct_sample.jsonl only,YES: items x 6 == retained + skipped,"measured on the skipped population itself (all-correct items), NOT borrowed from mixed-item both_correct pairs",99.5192,93.5225,92.376,94.669,94.0343,(retained_correct + sample_correct + imputed_records * skipped_item_accuracy) / (items * 6),the unsampled skipped records behave like the sampled ones from the same population
"ESTIMATED, NOT MEASURED FULL-SET ACCURACY",GSM8K,No Message,1319,7914,1225,7350,564,235,7115,YES: retained scope and skipped scope partition the item set; sample rows are read from all_correct_sample.jsonl only,YES: items x 6 == retained + skipped,"measured on the skipped population itself (all-correct items), NOT borrowed from mixed-item both_correct pairs",100.0,94.7435,94.0205,95.4665,94.7119,(retained_correct + sample_correct + imputed_records * skipped_item_accuracy) / (items * 6),the unsampled skipped records behave like the sampled ones from the same population
"ESTIMATED, NOT MEASURED FULL-SET ACCURACY",GSM8K,Full Text,1319,7914,1225,7350,564,235,7115,YES: retained scope and skipped scope partition the item set; sample rows are read from all_correct_sample.jsonl only,YES: items x 6 == retained + skipped,"measured on the skipped population itself (all-correct items), NOT borrowed from mixed-item both_correct pairs",100.0,94.6803,93.9573,95.4033,94.674,(retained_correct + sample_correct + imputed_records * skipped_item_accuracy) / (items * 6),the unsampled skipped records behave like the sampled ones from the same population
