dataset,condition,condition_key,status,acc_ret_num,acc_ret_den,acc_ret_pct,acc_ret_ci_low,acc_ret_ci_high,cr_num,cr_den,cr_pct,cr_ci_low,cr_ci_high,pr_num,pr_den,pr_pct,pr_ci_low,pr_ci_high,si_pct,bootstrap_resamples,bootstrap_seed,bootstrap_undefined_acc,bootstrap_undefined_cr,bootstrap_undefined_pr
MedQA,No Message,none,VERIFIED,185,720,25.6944,20.6944,30.9722,8,116,6.8966,2.1425,12.0968,114,116,98.2759,95.5357,100.0,52.5862,2000,20260921,0,0,0
MedQA,Full Text,true_text,VERIFIED,196,720,27.2222,21.25,33.3368,93,116,80.1724,72.0588,88.1356,49,116,42.2414,31.9955,52.8996,61.2069,2000,20260921,0,0,0
MedQA,StateBridge,true_statebridge,VERIFIED,208,720,28.8889,22.5,35.5556,67,116,57.7586,47.0577,68.0328,87,116,75.0,65.092,84.4454,66.3793,2000,20260921,0,0,0
MedQA,LatentMAS,true_latentmas,VERIFIED,178,720,24.7222,19.7222,29.8611,81,116,69.8276,60.2036,79.0928,38,116,32.7586,24.5278,40.7727,51.2931,2000,20260921,0,0,0
ARC-C,No Message,none,VERIFIED,164,588,27.8912,21.9345,34.0136,8,98,8.1633,2.9412,14.8168,91,98,92.8571,86.7347,97.8734,50.5102,2000,20260921,0,0,0
ARC-C,Full Text,true_text,VERIFIED,178,588,30.2721,23.6352,37.9252,79,98,80.6122,71.1538,89.7727,34,98,34.6939,23.999,45.9184,57.6531,2000,20260921,0,0,0
ARC-C,StateBridge,true_statebridge,VERIFIED,176,588,29.932,23.2993,37.415,68,98,69.3878,58.9994,80.2089,44,98,44.898,33.3259,57.5529,57.1429,2000,20260921,0,0,0
ARC-C,LatentMAS,true_latentmas,VERIFIED,166,588,28.2313,21.7645,35.2041,57,98,58.1633,48.2143,67.594,45,98,45.9184,35.1832,57.3193,52.0408,2000,20260921,0,0,0
GSM8K,No Message,none,VERIFIED,148,564,26.2411,19.6809,32.4468,12,92,13.0435,4.6512,23.2558,85,92,92.3913,85.1064,98.1132,52.7174,2000,20260921,0,0,0
GSM8K,Full Text,true_text,VERIFIED,143,564,25.3546,17.9078,32.4468,47,92,51.087,37.8042,64.4479,48,92,52.1739,38.6758,65.7162,51.6304,2000,20260921,0,0,0
GSM8K,StateBridge,true_statebridge,VERIFIED,152,564,26.9504,19.8537,33.8652,36,92,39.1304,26.3141,52.1739,68,92,73.913,64.1297,83.3333,56.5217,2000,20260921,0,0,0
GSM8K,LatentMAS,true_latentmas,VERIFIED,144,564,25.5319,18.7943,32.2695,55,92,59.7826,46.9355,71.5686,43,92,46.7391,34.2053,58.6988,53.2609,2000,20260921,0,0,0
HumanEval+,No Message,none,VERIFIED,71,168,42.2619,27.9762,55.9524,16,28,57.1429,36.6667,76.6667,26,28,92.8571,82.1429,100.0,75.0,2000,20260921,0,0,0
HumanEval+,Full Text,true_text,VERIFIED,76,168,45.2381,29.1667,60.119,21,28,75.0,53.5714,92.8571,26,28,92.8571,81.8182,100.0,83.9286,2000,20260921,0,0,0
HumanEval+,StateBridge,true_statebridge,VERIFIED,73,168,43.4524,28.5714,57.7381,19,28,67.8571,46.8698,85.7143,27,28,96.4286,87.5,100.0,82.1429,2000,20260921,0,0,0
HumanEval+,LatentMAS,true_latentmas,VERIFIED,67,168,39.881,25.5952,53.5714,24,28,85.7143,72.2222,96.4345,17,28,60.7143,39.2857,81.8182,73.2143,2000,20260921,0,0,0
