dataset,condition,stratum,paired_records,both_correct,none_wrong_channel_correct,none_correct_channel_wrong,both_wrong,net_change,net_change_pct_of_stratum,discordant
MedQA,Full Text,all_retained,720,110,86,75,449,11,1.5278,161
MedQA,Full Text,cr_stratum,116,8,85,0,23,85,73.2759,85
MedQA,Full Text,pr_stratum,116,49,0,65,2,-65,-56.0345,65
MedQA,Full Text,sr_stratum,436,1,1,10,424,-9,-2.0642,11
MedQA,Full Text,scr_stratum,52,52,0,0,0,0,0.0,0
MedQA,StateBridge,all_retained,720,147,61,38,474,23,3.1944,99
MedQA,StateBridge,cr_stratum,116,8,59,0,49,59,50.8621,59
MedQA,StateBridge,pr_stratum,116,85,2,29,0,-27,-23.2759,31
MedQA,StateBridge,sr_stratum,436,2,0,9,425,-9,-2.0642,9
MedQA,StateBridge,scr_stratum,52,52,0,0,0,0,0.0,0
MedQA,LatentMAS,all_retained,720,98,80,87,455,-7,-0.9722,167
MedQA,LatentMAS,cr_stratum,116,6,75,2,33,73,62.931,77
MedQA,LatentMAS,pr_stratum,116,38,0,76,2,-76,-65.5172,76
MedQA,LatentMAS,sr_stratum,436,2,5,9,420,-4,-0.9174,14
MedQA,LatentMAS,scr_stratum,52,52,0,0,0,0,0.0,0
MedQA,Full Text,si_difference_vs_none,,,,,,,8.6207,
MedQA,StateBridge,si_difference_vs_none,,,,,,,13.7931,
MedQA,LatentMAS,si_difference_vs_none,,,,,,,-1.2931,
ARC-C,Full Text,all_retained,588,102,76,62,348,14,2.381,138
ARC-C,Full Text,cr_stratum,98,8,71,0,19,71,72.449,71
ARC-C,Full Text,pr_stratum,98,34,0,57,7,-57,-58.1633,57
ARC-C,Full Text,sr_stratum,328,0,1,5,322,-4,-1.2195,6
ARC-C,Full Text,scr_stratum,64,60,4,0,0,4,6.25,4
ARC-C,StateBridge,all_retained,588,112,64,52,360,12,2.0408,116
ARC-C,StateBridge,cr_stratum,98,8,60,0,30,60,61.2245,60
ARC-C,StateBridge,pr_stratum,98,44,0,47,7,-47,-47.9592,47
ARC-C,StateBridge,sr_stratum,328,1,0,4,323,-4,-1.2195,4
ARC-C,StateBridge,scr_stratum,64,59,4,1,0,3,4.6875,5
ARC-C,LatentMAS,all_retained,588,107,59,57,365,2,0.3401,116
ARC-C,LatentMAS,cr_stratum,98,5,52,3,38,49,50.0,55
ARC-C,LatentMAS,pr_stratum,98,43,2,48,5,-46,-46.9388,50
ARC-C,LatentMAS,sr_stratum,328,0,3,5,320,-2,-0.6098,8
ARC-C,LatentMAS,scr_stratum,64,59,2,1,2,1,1.5625,3
ARC-C,Full Text,si_difference_vs_none,,,,,,,7.1429,
ARC-C,StateBridge,si_difference_vs_none,,,,,,,6.6327,
