dataset,condition,direction,records,cr_num,cr_den,pr_num,pr_den,sr_num,sr_den,scr_num,scr_den
MedQA,none,A_to_B,120,1,18,21,22,2,72,8,8
MedQA,none,A_to_C,120,1,18,19,20,2,74,8,8
MedQA,none,B_to_A,120,0,22,18,18,3,72,8,8
MedQA,none,B_to_C,120,1,20,18,18,3,72,10,10
MedQA,none,C_to_A,120,2,20,18,18,1,74,8,8
MedQA,none,C_to_B,120,3,18,20,20,0,72,10,10
MedQA,true_text,A_to_B,120,12,18,8,22,1,72,8,8
MedQA,true_text,A_to_C,120,16,18,9,20,0,74,8,8
MedQA,true_text,B_to_A,120,18,22,5,18,0,72,8,8
MedQA,true_text,B_to_C,120,14,20,11,18,0,72,10,10
MedQA,true_text,C_to_A,120,16,20,9,18,1,74,8,8
MedQA,true_text,C_to_B,120,17,18,7,20,0,72,10,10
MedQA,true_statebridge,A_to_B,120,9,18,13,22,0,72,8,8
MedQA,true_statebridge,A_to_C,120,15,18,18,20,1,74,8,8
MedQA,true_statebridge,B_to_A,120,10,22,12,18,1,72,8,8
MedQA,true_statebridge,B_to_C,120,8,20,16,18,0,72,10,10
MedQA,true_statebridge,C_to_A,120,13,20,14,18,0,74,8,8
MedQA,true_statebridge,C_to_B,120,12,18,14,20,0,72,10,10
MedQA,true_latentmas,A_to_B,120,14,18,7,22,1,72,8,8
MedQA,true_latentmas,A_to_C,120,10,18,7,20,1,74,8,8
MedQA,true_latentmas,B_to_A,120,16,22,4,18,1,72,8,8
MedQA,true_latentmas,B_to_C,120,13,20,8,18,1,72,10,10
MedQA,true_latentmas,C_to_A,120,14,20,5,18,3,74,8,8
MedQA,true_latentmas,C_to_B,120,14,18,7,20,0,72,10,10
ARC-C,none,A_to_B,98,3,16,14,15,1,57,10,10
ARC-C,none,A_to_C,98,0,15,16,19,1,53,11,11
ARC-C,none,B_to_A,98,0,15,16,16,0,57,9,10
ARC-C,none,B_to_C,98,3,14,19,19,1,54,10,11
ARC-C,none,C_to_A,98,1,19,13,15,0,53,10,11
ARC-C,none,C_to_B,98,1,19,13,14,2,54,10,11
ARC-C,true_text,A_to_B,98,13,16,2,15,1,57,10,10
ARC-C,true_text,A_to_C,98,13,15,3,19,0,53,11,11
ARC-C,true_text,B_to_A,98,12,15,7,16,0,57,10,10
ARC-C,true_text,B_to_C,98,10,14,6,19,0,54,11,11
ARC-C,true_text,C_to_A,98,15,19,8,15,0,53,11,11
ARC-C,true_text,C_to_B,98,16,19,8,14,0,54,11,11
ARC-C,true_statebridge,A_to_B,98,8,16,5,15,0,57,10,10
ARC-C,true_statebridge,A_to_C,98,13,15,8,19,1,53,11,11
ARC-C,true_statebridge,B_to_A,98,11,15,8,16,0,57,10,10
ARC-C,true_statebridge,B_to_C,98,11,14,8,19,0,54,11,11
ARC-C,true_statebridge,C_to_A,98,11,19,7,15,0,53,11,11
ARC-C,true_statebridge,C_to_B,98,14,19,8,14,0,54,10,11
ARC-C,true_latentmas,A_to_B,98,8,16,6,15,0,57,10,10
ARC-C,true_latentmas,A_to_C,98,9,15,6,19,0,53,11,11
ARC-C,true_latentmas,B_to_A,98,9,15,7,16,2,57,9,10
ARC-C,true_latentmas,B_to_C,98,8,14,10,19,1,54,10,11
ARC-C,true_latentmas,C_to_A,98,11,19,8,15,0,53,10,11
ARC-C,true_latentmas,C_to_B,98,12,19,8,14,0,54,11,11
GSM8K,none,A_to_B,94,1,16,13,15,0,56,7,7
GSM8K,none,A_to_C,94,4,15,13,16,1,55,8,8
GSM8K,none,B_to_A,94,2,15,16,16,1,56,6,7
GSM8K,none,B_to_C,94,3,14,14,16,2,56,8,8
GSM8K,none,C_to_A,94,1,16,15,15,2,55,8,8
GSM8K,none,C_to_B,94,1,16,14,14,0,56,8,8
GSM8K,true_text,A_to_B,94,5,16,7,15,0,56,7,7
GSM8K,true_text,A_to_C,94,9,15,7,16,0,55,8,8
GSM8K,true_text,B_to_A,94,6,15,7,16,0,56,7,7
GSM8K,true_text,B_to_C,94,8,14,12,16,2,56,8,8
GSM8K,true_text,C_to_A,94,9,16,7,15,0,55,8,8
GSM8K,true_text,C_to_B,94,10,16,8,14,0,56,8,8
GSM8K,true_statebridge,A_to_B,94,6,16,10,15,0,56,6,7
GSM8K,true_statebridge,A_to_C,94,7,15,13,16,2,55,8,8
GSM8K,true_statebridge,B_to_A,94,4,15,12,16,1,56,7,7
GSM8K,true_statebridge,B_to_C,94,8,14,12,16,0,56,8,8
GSM8K,true_statebridge,C_to_A,94,5,16,9,15,0,55,8,8
