dataset,condition,replication_id,cr_num,cr_den,cr_pct,cr_ci_low,cr_ci_high,pr_num,pr_den,pr_pct,pr_ci_low,pr_ci_high,si_pct,si_ci_low,si_ci_high,acc_mixed_num,acc_mixed_den,acc_mixed_pct,acc_mixed_equals_si,unparsed_output,non_terminating,status_not_complete,n_records
MedQA,No Message,seed_pair_00,8,116,6.8966,2.5862,12.0690,114,116,98.2759,95.6897,100.0000,52.5862,50.0000,55.6034,122,232,52.5862,YES,0,0,0,232
MedQA,Answer Only,seed_pair_00,45,116,38.7931,27.5862,50.0000,93,116,80.1724,71.5517,87.9310,59.4828,53.0172,66.3793,138,232,59.4828,YES,0,0,0,232
MedQA,Full Text,seed_pair_00,93,116,80.1724,71.5517,87.9310,49,116,42.2414,32.7586,52.5862,61.2069,53.8793,68.5345,142,232,61.2069,YES,0,0,0,232
ARC-C,No Message,seed_pair_00,8,98,8.1633,3.0612,14.2857,91,98,92.8571,86.7347,97.9592,50.5102,46.4286,54.5918,99,196,50.5102,YES,1,1,0,196
ARC-C,Answer Only,seed_pair_00,38,98,38.7755,27.5510,51.0204,62,98,63.2653,51.0204,75.5102,51.0204,42.8571,59.1837,100,196,51.0204,YES,0,0,0,196
ARC-C,Full Text,seed_pair_00,79,98,80.6122,70.4082,89.7959,34,98,34.6939,24.4898,45.9184,57.6531,48.9796,66.3265,113,196,57.6531,YES,0,0,0,196
GSM8K,No Message,seed_pair_00,12,92,13.0435,4.3478,22.8261,85,92,92.3913,84.7826,97.8261,52.7174,46.7391,59.2391,97,184,52.7174,YES,0,0,0,184
GSM8K,Answer Only,seed_pair_00,36,92,39.1304,26.0870,52.1739,65,92,70.6522,57.6087,82.6087,54.8913,44.5652,65.2174,101,184,54.8913,YES,0,0,0,184
GSM8K,Full Text,seed_pair_00,47,92,51.0870,38.0435,64.1304,48,92,52.1739,39.1304,65.2174,51.6304,39.6739,63.5870,95,184,51.6304,YES,0,0,0,184
GPQA-D,No Message,seed_pair_00,16,114,14.0351,7.0175,21.9298,110,114,96.4912,92.9825,99.1228,55.2632,51.3158,59.2105,126,228,55.2632,YES,1,1,0,228
GPQA-D,Answer Only,seed_pair_00,64,114,56.1404,45.6140,65.7895,72,114,63.1579,51.7544,74.5614,59.6491,50.8772,67.9825,136,228,59.6491,YES,1,1,0,228
GPQA-D,Full Text,seed_pair_00,85,114,74.5614,64.9123,83.3333,54,114,47.3684,35.9649,58.7719,60.9649,52.6316,69.2982,139,228,60.9649,YES,1,1,0,228
MedQA,StateBridge (REFERENCE),seed_pair_01,63,116,54.3103,,,83,116,71.5517,,,62.9310,,,146,232,62.9310,YES,,,,232
ARC-C,StateBridge (REFERENCE),seed_pair_00,68,98,69.3878,,,44,98,44.8980,,,57.1429,,,112,196,57.1429,YES,,,,196
GSM8K,StateBridge (REFERENCE),seed_pair_00,36,92,39.1304,,,68,92,73.9130,,,56.5217,,,104,184,56.5217,YES,,,,184
GPQA-D,StateBridge (REFERENCE),seed_pair_00,73,114,64.0351,,,59,114,51.7544,,,57.8947,,,132,228,57.8947,YES,,,,228
