dataset,alpha,cr_pct,pr_pct,si_pct,cr_none_num,cr_none_den,cr_full_num,cr_full_den,pr_none_num,pr_none_den,pr_full_num,pr_full_den
MedQA,0.00,6.8966,98.2759,52.5862,8,116,93,116,114,116,49,116
MedQA,0.05,10.5603,95.4741,53.0172,8,116,93,116,114,116,49,116
MedQA,0.10,14.2241,92.6724,53.4483,8,116,93,116,114,116,49,116
MedQA,0.15,17.8879,89.8707,53.8793,8,116,93,116,114,116,49,116
MedQA,0.20,21.5517,87.0690,54.3103,8,116,93,116,114,116,49,116
MedQA,0.25,25.2155,84.2672,54.7414,8,116,93,116,114,116,49,116
MedQA,0.30,28.8793,81.4655,55.1724,8,116,93,116,114,116,49,116
MedQA,0.35,32.5431,78.6638,55.6034,8,116,93,116,114,116,49,116
MedQA,0.40,36.2069,75.8621,56.0345,8,116,93,116,114,116,49,116
MedQA,0.45,39.8707,73.0603,56.4655,8,116,93,116,114,116,49,116
MedQA,0.50,43.5345,70.2586,56.8966,8,116,93,116,114,116,49,116
MedQA,0.55,47.1983,67.4569,57.3276,8,116,93,116,114,116,49,116
MedQA,0.60,50.8621,64.6552,57.7586,8,116,93,116,114,116,49,116
MedQA,0.65,54.5259,61.8534,58.1897,8,116,93,116,114,116,49,116
MedQA,0.70,58.1897,59.0517,58.6207,8,116,93,116,114,116,49,116
MedQA,0.75,61.8534,56.2500,59.0517,8,116,93,116,114,116,49,116
MedQA,0.80,65.5172,53.4483,59.4828,8,116,93,116,114,116,49,116
MedQA,0.85,69.1810,50.6466,59.9138,8,116,93,116,114,116,49,116
MedQA,0.90,72.8448,47.8448,60.3448,8,116,93,116,114,116,49,116
MedQA,0.95,76.5086,45.0431,60.7759,8,116,93,116,114,116,49,116
MedQA,1.00,80.1724,42.2414,61.2069,8,116,93,116,114,116,49,116
ARC-C,0.00,8.1633,92.8571,50.5102,8,98,79,98,91,98,34,98
ARC-C,0.05,11.7857,89.9490,50.8673,8,98,79,98,91,98,34,98
ARC-C,0.10,15.4082,87.0408,51.2245,8,98,79,98,91,98,34,98
ARC-C,0.15,19.0306,84.1327,51.5816,8,98,79,98,91,98,34,98
ARC-C,0.20,22.6531,81.2245,51.9388,8,98,79,98,91,98,34,98
ARC-C,0.25,26.2755,78.3163,52.2959,8,98,79,98,91,98,34,98
ARC-C,0.30,29.8980,75.4082,52.6531,8,98,79,98,91,98,34,98
ARC-C,0.35,33.5204,72.5000,53.0102,8,98,79,98,91,98,34,98
ARC-C,0.40,37.1429,69.5918,53.3673,8,98,79,98,91,98,34,98
ARC-C,0.45,40.7653,66.6837,53.7245,8,98,79,98,91,98,34,98
ARC-C,0.50,44.3878,63.7755,54.0816,8,98,79,98,91,98,34,98
ARC-C,0.55,48.0102,60.8673,54.4388,8,98,79,98,91,98,34,98
ARC-C,0.60,51.6327,57.9592,54.7959,8,98,79,98,91,98,34,98
ARC-C,0.65,55.2551,55.0510,55.1531,8,98,79,98,91,98,34,98
ARC-C,0.70,58.8776,52.1429,55.5102,8,98,79,98,91,98,34,98
ARC-C,0.75,62.5000,49.2347,55.8673,8,98,79,98,91,98,34,98
ARC-C,0.80,66.1224,46.3265,56.2245,8,98,79,98,91,98,34,98
ARC-C,0.85,69.7449,43.4184,56.5816,8,98,79,98,91,98,34,98
ARC-C,0.90,73.3673,40.5102,56.9388,8,98,79,98,91,98,34,98
ARC-C,0.95,76.9898,37.6020,57.2959,8,98,79,98,91,98,34,98
ARC-C,1.00,80.6122,34.6939,57.6531,8,98,79,98,91,98,34,98
GSM8K,0.00,13.0435,92.3913,52.7174,12,92,47,92,85,92,48,92
GSM8K,0.05,14.9457,90.3804,52.6630,12,92,47,92,85,92,48,92
GSM8K,0.10,16.8478,88.3696,52.6087,12,92,47,92,85,92,48,92
GSM8K,0.15,18.7500,86.3587,52.5543,12,92,47,92,85,92,48,92
GSM8K,0.20,20.6522,84.3478,52.5000,12,92,47,92,85,92,48,92
GSM8K,0.25,22.5543,82.3370,52.4457,12,92,47,92,85,92,48,92
GSM8K,0.30,24.4565,80.3261,52.3913,12,92,47,92,85,92,48,92
GSM8K,0.35,26.3587,78.3152,52.3370,12,92,47,92,85,92,48,92
GSM8K,0.40,28.2609,76.3043,52.2826,12,92,47,92,85,92,48,92
GSM8K,0.45,30.1630,74.2935,52.2283,12,92,47,92,85,92,48,92
GSM8K,0.50,32.0652,72.2826,52.1739,12,92,47,92,85,92,48,92
GSM8K,0.55,33.9674,70.2717,52.1196,12,92,47,92,85,92,48,92
GSM8K,0.60,35.8696,68.2609,52.0652,12,92,47,92,85,92,48,92
GSM8K,0.65,37.7717,66.2500,52.0109,12,92,47,92,85,92,48,92
GSM8K,0.70,39.6739,64.2391,51.9565,12,92,47,92,85,92,48,92
GSM8K,0.75,41.5761,62.2283,51.9022,12,92,47,92,85,92,48,92
GSM8K,0.80,43.4783,60.2174,51.8478,12,92,47,92,85,92,48,92
GSM8K,0.85,45.3804,58.2065,51.7935,12,92,47,92,85,92,48,92
GSM8K,0.90,47.2826,56.1957,51.7391,12,92,47,92,85,92,48,92
GSM8K,0.95,49.1848,54.1848,51.6848,12,92,47,92,85,92,48,92
GSM8K,1.00,51.0870,52.1739,51.6304,12,92,47,92,85,92,48,92
GPQA-D,0.00,14.0351,96.4912,55.2632,16,114,85,114,110,114,54,114
GPQA-D,0.05,17.0614,94.0351,55.5482,16,114,85,114,110,114,54,114
GPQA-D,0.10,20.0877,91.5789,55.8333,16,114,85,114,110,114,54,114
GPQA-D,0.15,23.1140,89.1228,56.1184,16,114,85,114,110,114,54,114
GPQA-D,0.20,26.1404,86.6667,56.4035,16,114,85,114,110,114,54,114
GPQA-D,0.25,29.1667,84.2105,56.6886,16,114,85,114,110,114,54,114
GPQA-D,0.30,32.1930,81.7544,56.9737,16,114,85,114,110,114,54,114
GPQA-D,0.35,35.2193,79.2982,57.2588,16,114,85,114,110,114,54,114
GPQA-D,0.40,38.2456,76.8421,57.5439,16,114,85,114,110,114,54,114
GPQA-D,0.45,41.2719,74.3860,57.8289,16,114,85,114,110,114,54,114
GPQA-D,0.50,44.2982,71.9298,58.1140,16,114,85,114,110,114,54,114
GPQA-D,0.55,47.3246,69.4737,58.3991,16,114,85,114,110,114,54,114
GPQA-D,0.60,50.3509,67.0175,58.6842,16,114,85,114,110,114,54,114
GPQA-D,0.65,53.3772,64.5614,58.9693,16,114,85,114,110,114,54,114
GPQA-D,0.70,56.4035,62.1053,59.2544,16,114,85,114,110,114,54,114
GPQA-D,0.75,59.4298,59.6491,59.5395,16,114,85,114,110,114,54,114
GPQA-D,0.80,62.4561,57.1930,59.8246,16,114,85,114,110,114,54,114
GPQA-D,0.85,65.4825,54.7368,60.1096,16,114,85,114,110,114,54,114
GPQA-D,0.90,68.5088,52.2807,60.3947,16,114,85,114,110,114,54,114
GPQA-D,0.95,71.5351,49.8246,60.6798,16,114,85,114,110,114,54,114
