dataset,condition,stratum,den,invalid_output,kept_receiver_prior,matched_sender_answer,third_answer_sender_valid,changed_sender_answer_missing,categories_sum,sums_to_den,valid_outputs,valid_change_rate_pct,invalid_output_rate_pct
MedQA,No Message,CR,116,0,108,8,0,0,116,YES,116,6.8966,0.0000
MedQA,No Message,PR,116,0,114,1,1,0,116,YES,116,1.7241,0.0000
MedQA,No Message,MIXED_TOTAL,232,0,,,,,,,232,4.3103,0.0000
MedQA,Answer Only,CR,116,0,71,45,0,0,116,YES,116,38.7931,0.0000
MedQA,Answer Only,PR,116,0,93,23,0,0,116,YES,116,19.8276,0.0000
MedQA,Answer Only,MIXED_TOTAL,232,0,,,,,,,232,29.3103,0.0000
MedQA,Full Text,CR,116,0,23,93,0,0,116,YES,116,80.1724,0.0000
MedQA,Full Text,PR,116,0,49,67,0,0,116,YES,116,57.7586,0.0000
MedQA,Full Text,MIXED_TOTAL,232,0,,,,,,,232,68.9655,0.0000
ARC-C,No Message,CR,98,1,86,8,3,0,98,YES,97,11.3402,1.0204
ARC-C,No Message,PR,98,0,91,7,0,0,98,YES,98,7.1429,0.0000
ARC-C,No Message,MIXED_TOTAL,196,1,,,,,,,195,9.2308,0.5102
ARC-C,Answer Only,CR,98,0,60,38,0,0,98,YES,98,38.7755,0.0000
ARC-C,Answer Only,PR,98,0,62,36,0,0,98,YES,98,36.7347,0.0000
ARC-C,Answer Only,MIXED_TOTAL,196,0,,,,,,,196,37.7551,0.0000
ARC-C,Full Text,CR,98,0,19,79,0,0,98,YES,98,80.6122,0.0000
ARC-C,Full Text,PR,98,0,34,64,0,0,98,YES,98,65.3061,0.0000
ARC-C,Full Text,MIXED_TOTAL,196,0,,,,,,,196,72.9592,0.0000
GSM8K,No Message,CR,92,0,77,12,3,0,92,YES,92,16.3043,0.0000
GSM8K,No Message,PR,92,0,85,5,2,0,92,YES,92,7.6087,0.0000
GSM8K,No Message,MIXED_TOTAL,184,0,,,,,,,184,11.9565,0.0000
GSM8K,Answer Only,CR,92,0,55,36,1,0,92,YES,92,40.2174,0.0000
GSM8K,Answer Only,PR,92,0,65,23,4,0,92,YES,92,29.3478,0.0000
GSM8K,Answer Only,MIXED_TOTAL,184,0,,,,,,,184,34.7826,0.0000
GSM8K,Full Text,CR,92,0,43,47,2,0,92,YES,92,53.2609,0.0000
GSM8K,Full Text,PR,92,0,48,43,1,0,92,YES,92,47.8261,0.0000
GSM8K,Full Text,MIXED_TOTAL,184,0,,,,,,,184,50.5435,0.0000
GPQA-D,No Message,CR,114,1,90,16,7,0,114,YES,113,20.3540,0.8772
GPQA-D,No Message,PR,114,0,110,1,3,0,114,YES,114,3.5088,0.0000
GPQA-D,No Message,MIXED_TOTAL,228,1,,,,,,,227,11.8943,0.4386
GPQA-D,Answer Only,CR,114,0,48,64,2,0,114,YES,114,57.8947,0.0000
GPQA-D,Answer Only,PR,114,1,72,38,3,0,114,YES,113,36.2832,0.8772
GPQA-D,Answer Only,MIXED_TOTAL,228,1,,,,,,,227,47.1366,0.4386
GPQA-D,Full Text,CR,114,0,29,85,0,0,114,YES,114,74.5614,0.0000
GPQA-D,Full Text,PR,114,1,54,58,1,0,114,YES,113,52.2124,0.8772
GPQA-D,Full Text,MIXED_TOTAL,228,1,,,,,,,227,63.4361,0.4386
