dataset,condition,comparison,stratum,n_paired,both_correct,v3_wrong_v4_right,v3_right_v4_wrong,both_wrong,v3_pct,v4_pct,delta_pp,ci_low,ci_high,interval_covers_zero,revision_seed_controlled,invalid_resamples
MedQA,No Message,V4 - V3,CR,116,3,1,5,107,6.8966,3.4483,-3.4483,-8.6207,+0.8621,YES,YES,0
MedQA,No Message,V4 - V3,PR,116,113,2,1,0,98.2759,99.1379,+0.8621,-1.7241,+3.4483,YES,YES,0
MedQA,No Message,V4 - V3,SI,232,,,,,52.5862,51.2931,-1.2931,-3.8793,+1.2931,YES,YES,0
MedQA,Full Text,V4 - V3,CR,116,62,4,31,19,80.1724,56.8966,-23.2759,-31.8966,-14.6552,NO,YES,0
MedQA,Full Text,V4 - V3,PR,116,42,36,7,31,42.2414,67.2414,+25.0000,+14.6552,+35.3448,NO,YES,0
MedQA,Full Text,V4 - V3,SI,232,,,,,61.2069,62.0690,+0.8621,-5.1724,+6.8966,YES,YES,0
MedQA,StateBridge,V4 - V3,CR,116,28,4,35,49,54.3103,27.5862,-26.7241,-37.9310,-16.3793,NO,YES,0
MedQA,StateBridge,V4 - V3,PR,116,82,19,1,14,71.5517,87.0690,+15.5172,+7.7586,+24.1379,NO,YES,0
MedQA,StateBridge,V4 - V3,SI,232,,,,,62.9310,57.3276,-5.6034,-12.0690,+0.8621,YES,YES,0
MedQA,LatentMAS,V4 - V3,CR,116,35,16,46,19,69.8276,43.9655,-25.8621,-39.6552,-12.0690,NO,YES,0
MedQA,LatentMAS,V4 - V3,PR,116,33,58,5,20,32.7586,78.4483,+45.6897,+34.4828,+56.8966,NO,YES,0
MedQA,LatentMAS,V4 - V3,SI,232,,,,,51.2931,61.2069,+9.9138,+1.2931,+18.5345,NO,YES,0
GPQA-D,No Message,V4 - V3,CR,114,4,4,12,94,14.0351,7.0175,-7.0175,-14.9123,+0.0000,YES,YES,0
GPQA-D,No Message,V4 - V3,PR,114,107,4,3,0,96.4912,97.3684,+0.8772,-2.6316,+4.3860,YES,YES,0
GPQA-D,No Message,V4 - V3,SI,228,,,,,55.2632,52.1930,-3.0702,-7.0175,+0.8772,YES,YES,0
GPQA-D,Full Text,V4 - V3,CR,114,57,6,28,23,74.5614,55.2632,-19.2982,-29.8246,-8.7719,NO,YES,0
GPQA-D,Full Text,V4 - V3,PR,114,44,26,10,34,47.3684,61.4035,+14.0351,+3.5088,+24.5614,NO,YES,0
GPQA-D,Full Text,V4 - V3,SI,228,,,,,60.9649,58.3333,-2.6316,-9.2105,+4.3860,YES,YES,0
GPQA-D,StateBridge,V4 - V3,CR,114,49,9,24,32,64.0351,50.8772,-13.1579,-22.8070,-2.6316,NO,YES,0
GPQA-D,StateBridge,V4 - V3,PR,114,52,28,7,27,51.7544,70.1754,+18.4211,+8.7719,+28.0702,NO,YES,0
GPQA-D,StateBridge,V4 - V3,SI,228,,,,,57.8947,60.5263,+2.6316,-4.3860,+9.2105,YES,YES,0
GPQA-D,LatentMAS,V4 - V3,CR,114,43,7,27,37,61.4035,43.8596,-17.5439,-28.0702,-7.0175,NO,YES,0
GPQA-D,LatentMAS,V4 - V3,PR,114,48,37,10,19,50.8772,74.5614,+23.6842,+11.4035,+35.9649,NO,YES,0
GPQA-D,LatentMAS,V4 - V3,SI,228,,,,,56.1404,59.2105,+3.0702,-4.3860,+10.5263,YES,YES,0
