dataset,condition,policy,stratum,den,invalid_output,kept_receiver_prior,matched_sender_answer,third_answer,changed_sender_answer_missing,sum,sums_to_den,valid_outputs,valid_change_rate_pct,invalid_output_rate_pct
MedQA,No Message,V3,CR,116,0,108,8,0,0,116,YES,116,6.8966,0.0000
MedQA,No Message,V3,PR,116,0,114,1,1,0,116,YES,116,1.7241,0.0000
MedQA,No Message,V3,MIXED_TOTAL,232,0,,,,,,,232,4.3103,0.0000
MedQA,No Message,V4,CR,116,0,112,4,0,0,116,YES,116,3.4483,0.0000
MedQA,No Message,V4,PR,116,0,115,1,0,0,116,YES,116,0.8621,0.0000
MedQA,No Message,V4,MIXED_TOTAL,232,0,,,,,,,232,2.1552,0.0000
MedQA,Full Text,V3,CR,116,0,23,93,0,0,116,YES,116,80.1724,0.0000
MedQA,Full Text,V3,PR,116,0,49,67,0,0,116,YES,116,57.7586,0.0000
MedQA,Full Text,V3,MIXED_TOTAL,232,0,,,,,,,232,68.9655,0.0000
MedQA,Full Text,V4,CR,116,0,50,66,0,0,116,YES,116,56.8966,0.0000
MedQA,Full Text,V4,PR,116,0,78,38,0,0,116,YES,116,32.7586,0.0000
MedQA,Full Text,V4,MIXED_TOTAL,232,0,,,,,,,232,44.8276,0.0000
MedQA,StateBridge,V3,CR,116,0,53,63,0,0,116,YES,116,54.3103,0.0000
MedQA,StateBridge,V3,PR,116,0,83,33,0,0,116,YES,116,28.4483,0.0000
MedQA,StateBridge,V3,MIXED_TOTAL,232,0,,,,,,,232,41.3793,0.0000
MedQA,StateBridge,V4,CR,116,0,84,32,0,0,116,YES,116,27.5862,0.0000
MedQA,StateBridge,V4,PR,116,0,101,15,0,0,116,YES,116,12.9310,0.0000
MedQA,StateBridge,V4,MIXED_TOTAL,232,0,,,,,,,232,20.2586,0.0000
MedQA,LatentMAS,V3,CR,116,0,35,81,0,0,116,YES,116,69.8276,0.0000
MedQA,LatentMAS,V3,PR,116,0,38,78,0,0,116,YES,116,67.2414,0.0000
MedQA,LatentMAS,V3,MIXED_TOTAL,232,0,,,,,,,232,68.5345,0.0000
MedQA,LatentMAS,V4,CR,116,0,65,51,0,0,116,YES,116,43.9655,0.0000
MedQA,LatentMAS,V4,PR,116,0,91,25,0,0,116,YES,116,21.5517,0.0000
MedQA,LatentMAS,V4,MIXED_TOTAL,232,0,,,,,,,232,32.7586,0.0000
GPQA-D,No Message,V3,CR,114,1,90,16,7,0,114,YES,113,20.3540,0.8772
GPQA-D,No Message,V3,PR,114,0,110,1,3,0,114,YES,114,3.5088,0.0000
GPQA-D,No Message,V3,MIXED_TOTAL,228,1,,,,,,,227,11.8943,0.4386
GPQA-D,No Message,V4,CR,114,3,94,8,9,0,114,YES,111,15.3153,2.6316
GPQA-D,No Message,V4,PR,114,2,111,1,0,0,114,YES,112,0.8929,1.7544
GPQA-D,No Message,V4,MIXED_TOTAL,228,5,,,,,,,223,8.0717,2.1930
GPQA-D,Full Text,V3,CR,114,0,29,85,0,0,114,YES,114,74.5614,0.0000
GPQA-D,Full Text,V3,PR,114,1,54,58,1,0,114,YES,113,52.2124,0.8772
GPQA-D,Full Text,V3,MIXED_TOTAL,228,1,,,,,,,227,63.4361,0.4386
GPQA-D,Full Text,V4,CR,114,0,50,63,1,0,114,YES,114,56.1404,0.0000
GPQA-D,Full Text,V4,PR,114,0,70,43,0,1,114,YES,114,38.5965,0.0000
GPQA-D,Full Text,V4,MIXED_TOTAL,228,0,,,,,,,228,47.3684,0.0000
GPQA-D,StateBridge,V3,CR,114,1,40,73,0,0,114,YES,113,64.6018,0.8772
GPQA-D,StateBridge,V3,PR,114,0,59,53,1,1,114,YES,114,48.2456,0.0000
GPQA-D,StateBridge,V3,MIXED_TOTAL,228,1,,,,,,,227,56.3877,0.4386
GPQA-D,StateBridge,V4,CR,114,0,55,58,1,0,114,YES,114,51.7544,0.0000
GPQA-D,StateBridge,V4,PR,114,0,80,32,1,1,114,YES,114,29.8246,0.0000
GPQA-D,StateBridge,V4,MIXED_TOTAL,228,0,,,,,,,228,40.7895,0.0000
GPQA-D,LatentMAS,V3,CR,114,0,44,70,0,0,114,YES,114,61.4035,0.0000
GPQA-D,LatentMAS,V3,PR,114,4,58,52,0,0,114,YES,110,47.2727,3.5088
GPQA-D,LatentMAS,V3,MIXED_TOTAL,228,4,,,,,,,224,54.4643,1.7544
GPQA-D,LatentMAS,V4,CR,114,1,63,50,0,0,114,YES,113,44.2478,0.8772
GPQA-D,LatentMAS,V4,PR,114,4,85,25,0,0,114,YES,110,22.7273,3.5088
GPQA-D,LatentMAS,V4,MIXED_TOTAL,228,5,,,,,,,223,33.6323,2.1930
