dataset,variant,condition_key,completeness,n_records,n_expected,cr_pct,cr_num,cr_den,pr_pct,pr_num,pr_den,si_pct,si_minus_50,dpi,adoption_pi_bar_pct,sr_pct,scr_pct,acc_ret_pct,source_root
MedQA,Hybrid,true_hybrid,complete,720,720,71.55,83,116,62.93,73,116,67.24,+17.24,34.5,54.3,0.46,100.00,29.17,runs/medqa/cr_dnc_v1/icr_root
MedQA,RawHybrid,true_rawhybrid,complete,720,720,83.62,97,116,39.66,46,116,61.64,+11.64,23.3,72.0,0.23,100.00,27.22,runs/medqa/cr_dnc_v1/icr_root
MedQA,Hybrid V3,true_hybrid_v3,complete,720,720,82.76,96,116,34.48,40,116,58.62,+8.62,17.2,74.1,0.23,100.00,26.25,runs/medqa/cr_dnc_v1/icr_root
ARC-C,Hybrid,true_hybrid,complete,588,588,70.41,69,98,44.90,44,98,57.65,+7.65,15.3,62.8,0.00,100.00,30.10,runs/arc_challenge/hybrid_root
ARC-C,RawHybrid,true_rawhybrid,complete,588,588,75.51,74,98,33.67,33,98,54.59,+4.59,9.2,70.9,0.00,98.44,28.91,runs/arc_challenge/hybrid_root
ARC-C,Hybrid V3,true_hybrid_v3,complete,588,588,75.51,74,98,33.67,33,98,54.59,+4.59,9.2,70.9,0.00,100.00,29.08,runs/arc_challenge/hybrid_root
GSM8K,Hybrid,true_hybrid,complete,564,564,53.26,49,92,53.26,49,92,53.26,+3.26,10.9,47.8,0.90,100.00,26.06,runs/gsm8k/hybrid_root
GSM8K,RawHybrid,true_rawhybrid,complete,564,564,51.09,47,92,51.09,47,92,51.09,+1.09,5.4,48.4,0.90,100.00,25.35,runs/gsm8k/hybrid_root
GSM8K,Hybrid V3,true_hybrid_v3,complete,564,564,52.17,48,92,51.09,47,92,51.63,+1.63,6.5,48.9,1.50,100.00,25.89,runs/gsm8k/hybrid_root
GSM8K,Hybrid keep-chain,true_hybrid_keepchain,complete,564,564,52.17,48,92,51.09,47,92,51.63,+1.63,6.5,48.9,1.50,100.00,25.89,runs/gsm8k/hybrid_root
GPQA-D,Hybrid,true_hybrid,complete,708,708,68.42,78,114,46.49,53,114,57.46,+7.46,17.5,59.6,1.62,97.92,26.13,runs/gpqa/hybrid_root
GPQA-D,RawHybrid,true_rawhybrid,INCOMPLETE 651/708,651,708,70.75,75,106,40.00,42,105,55.38,+5.38,11.7,64.9,1.27,100.00,25.81,runs/gpqa/hybrid_root
GPQA-D,Hybrid V3,true_hybrid_v3,INCOMPLETE 582/708,582,708,68.69,68,99,44.21,42,95,56.45,+6.45,14.0,61.7,1.14,97.30,25.77,runs/gpqa/hybrid_root
