dataset,condition,cr_num,cr_den,cr_pct,cr_ci_low,cr_ci_high,pr_num,pr_den,pr_pct,pr_ci_low,pr_ci_high,si_pct,si_ci_low,si_ci_high,acc_mixed_pct,acc_mixed_equals_si,change_rate_pct,unparsed,non_terminating,n_records
MedQA,No Message,8,116,6.90,2.59,12.07,114,116,98.28,95.69,100.00,52.59,50.00,55.60,52.59,YES,4.31,0,0,232
MedQA,Answer Only,45,116,38.79,27.59,50.00,93,116,80.17,71.55,87.93,59.48,53.02,66.38,59.48,YES,29.31,0,0,232
MedQA,Full Text,93,116,80.17,71.55,87.93,49,116,42.24,32.76,52.59,61.21,53.88,68.53,61.21,YES,68.97,0,0,232
MedQA,StateBridge,67,116,57.76,47.41,68.10,87,116,75.00,64.66,84.48,66.38,58.19,74.14,66.38,YES,41.38,0,0,232
MedQA,LatentMAS,81,116,69.83,60.34,79.31,38,116,32.76,25.00,41.38,51.29,45.26,57.33,51.29,YES,68.53,0,0,232
MedQA,random_spans,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED
MedQA,selected_spans,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED
GPQA-D,No Message,16,114,14.04,7.02,21.93,110,114,96.49,92.98,99.12,55.26,51.32,59.21,55.26,YES,11.84,1,1,228
GPQA-D,Answer Only,64,114,56.14,45.61,65.79,72,114,63.16,51.75,74.56,59.65,50.88,67.98,59.65,YES,47.37,1,1,228
GPQA-D,Full Text,85,114,74.56,64.91,83.33,54,114,47.37,35.96,58.77,60.96,52.63,69.30,60.96,YES,63.60,1,1,228
GPQA-D,StateBridge,73,114,64.04,54.39,73.68,59,114,51.75,41.23,62.28,57.89,50.00,65.35,57.89,YES,56.14,1,1,228
GPQA-D,LatentMAS,70,114,61.40,50.88,71.93,58,114,50.88,40.35,61.40,56.14,47.81,64.47,56.14,YES,55.26,4,4,228
GPQA-D,random_spans,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED
GPQA-D,selected_spans,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED
