dataset,alpha,cr_pct,pr_pct,si_pct
MedQA,0.00,6.90,98.28,52.59
MedQA,0.05,10.56,95.47,53.02
MedQA,0.10,14.22,92.67,53.45
MedQA,0.15,17.89,89.87,53.88
MedQA,0.20,21.55,87.07,54.31
MedQA,0.25,25.22,84.27,54.74
MedQA,0.30,28.88,81.47,55.17
MedQA,0.35,32.54,78.66,55.60
MedQA,0.40,36.21,75.86,56.03
MedQA,0.45,39.87,73.06,56.47
MedQA,0.50,43.53,70.26,56.90
MedQA,0.55,47.20,67.46,57.33
MedQA,0.60,50.86,64.66,57.76
MedQA,0.65,54.53,61.85,58.19
MedQA,0.70,58.19,59.05,58.62
MedQA,0.75,61.85,56.25,59.05
MedQA,0.80,65.52,53.45,59.48
MedQA,0.85,69.18,50.65,59.91
MedQA,0.90,72.84,47.84,60.34
MedQA,0.95,76.51,45.04,60.78
MedQA,1.00,80.17,42.24,61.21
GPQA-D,0.00,14.04,96.49,55.26
GPQA-D,0.05,17.06,94.04,55.55
GPQA-D,0.10,20.09,91.58,55.83
GPQA-D,0.15,23.11,89.12,56.12
GPQA-D,0.20,26.14,86.67,56.40
GPQA-D,0.25,29.17,84.21,56.69
GPQA-D,0.30,32.19,81.75,56.97
GPQA-D,0.35,35.22,79.30,57.26
GPQA-D,0.40,38.25,76.84,57.54
GPQA-D,0.45,41.27,74.39,57.83
GPQA-D,0.50,44.30,71.93,58.11
GPQA-D,0.55,47.32,69.47,58.40
GPQA-D,0.60,50.35,67.02,58.68
GPQA-D,0.65,53.38,64.56,58.97
GPQA-D,0.70,56.40,62.11,59.25
GPQA-D,0.75,59.43,59.65,59.54
GPQA-D,0.80,62.46,57.19,59.82
GPQA-D,0.85,65.48,54.74,60.11
GPQA-D,0.90,68.51,52.28,60.39
GPQA-D,0.95,71.54,49.82,60.68
GPQA-D,1.00,74.56,47.37,60.96
