dataset,condition,initial_answer_acc_num,initial_answer_acc_den,initial_answer_acc_pct,acc_mixed_direction_num,acc_mixed_direction_den,acc_mixed_direction_pct,si_pct,acc_mixed_equals_si,acc_ret_num,acc_ret_den,acc_ret_pct,measured_records,full_set_records,measured_coverage_pct,measured_full_set_acc_pct
MedQA,No Message,624,900,69.3333,122,232,52.5862,52.5862,YES,185,720,25.6944,754,1800,41.8889,not available (coverage < 100%)
MedQA,Full Text,,,,142,232,61.2069,61.2069,YES,196,720,27.2222,754,1800,41.8889,not available (coverage < 100%)
MedQA,StateBridge,,,,146,232,62.9310,62.9310,YES,200,720,27.7778,720,1800,40.0000,not available (coverage < 100%)
MedQA,LatentMAS,,,,119,232,51.2931,51.2931,YES,178,720,24.7222,754,1800,41.8889,not available (coverage < 100%)
ARC-C,No Message,3282,3495,93.9056,99,196,50.5102,50.5102,YES,164,588,27.8912,796,6990,11.3877,not available (coverage < 100%)
ARC-C,Full Text,,,,113,196,57.6531,57.6531,YES,178,588,30.2721,796,6990,11.3877,not available (coverage < 100%)
ARC-C,StateBridge,,,,112,196,57.1429,57.1429,YES,176,588,29.932,796,6990,11.3877,not available (coverage < 100%)
ARC-C,LatentMAS,,,,102,196,52.0408,52.0408,YES,166,588,28.2313,796,6990,11.3877,not available (coverage < 100%)
GSM8K,No Message,3744,3957,94.6171,97,184,52.7174,52.7174,YES,148,564,26.2411,799,7914,10.096,not available (coverage < 100%)
GSM8K,Full Text,,,,95,184,51.6304,51.6304,YES,143,564,25.3546,799,7914,10.096,not available (coverage < 100%)
GSM8K,StateBridge,,,,104,184,56.5217,56.5217,YES,152,564,26.9504,799,7914,10.096,not available (coverage < 100%)
GSM8K,LatentMAS,,,,98,184,53.2609,53.2609,YES,144,564,25.5319,797,7914,10.0708,not available (coverage < 100%)
GPQA-D,No Message,321,594,54.0404,126,228,55.2632,55.2632,YES,180,708,25.4237,832,1188,70.0337,not available (coverage < 100%)
GPQA-D,Full Text,,,,139,228,60.9649,60.9649,YES,193,708,27.2599,832,1188,70.0337,not available (coverage < 100%)
GPQA-D,StateBridge,,,,132,228,57.8947,57.8947,YES,190,708,26.8362,832,1188,70.0337,not available (coverage < 100%)
GPQA-D,LatentMAS,,,,128,228,56.1404,56.1404,YES,178,708,25.1412,831,1188,69.9495,not available (coverage < 100%)
HumanEval+,No Message,432,492,87.8049,42,56,75.0,75.0,YES,71,168,42.2619,192,984,19.5122,not available (coverage < 100%)
HumanEval+,Full Text,,,,47,56,83.9286,83.9286,YES,76,168,45.2381,192,984,19.5122,not available (coverage < 100%)
HumanEval+,StateBridge,,,,46,56,82.1429,82.1429,YES,73,168,43.4524,192,984,19.5122,not available (coverage < 100%)
HumanEval+,LatentMAS,,,,41,56,73.2143,73.2143,YES,67,168,39.881,192,984,19.5122,not available (coverage < 100%)
