dataset,condition,records,extra_construction_calls_per_message,construction_note,receiver_prompt_tokens_mean,receiver_output_tokens_mean,receiver_output_tokens_total,message_text_tokens_mean,payload_bytes_mean,payload_bytes_note,latent_steps,message_construction_seconds_mean,receiver_revision_seconds_mean,receiver_revision_seconds_total,wall_clock_note
MedQA,No Message,720,0,sender reasoning reused verbatim from phase 1; no extra call,912.2,884.5,636835,,0,,,MISSING,19.929,14349.1,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
MedQA,Full Text,720,0,sender reasoning reused verbatim from phase 1; no extra call,1438.2,978.7,704697,518.1,2212.9,,,MISSING,23.203,16706.1,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
MedQA,StateBridge,720,0,prefix/cache derived from the phase-1 forward pass; no extra generation,983.2,958.3,689968,,327680,hidden-state prefix; NOT convertible to an equivalent token count,,MISSING,21.728,15644.5,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
MedQA,LatentMAS,720,0,sender trajectory teacher-forced plus generated_latent_steps latent steps,919.2,582.6,419444,,0,latent KV payload; NOT convertible to an equivalent token count,10,0.4829,14.452,10405.8,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
ARC-C,No Message,588,0,sender reasoning reused verbatim from phase 1; no extra call,709.7,807.5,474792,,0,,,MISSING,20.726,12186.9,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
ARC-C,Full Text,588,0,sender reasoning reused verbatim from phase 1; no extra call,1195.8,760.1,446915,478.2,2123.3,,,MISSING,16.397,9641.5,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
ARC-C,StateBridge,588,0,prefix/cache derived from the phase-1 forward pass; no extra generation,780.7,773.6,454888,,327680,hidden-state prefix; NOT convertible to an equivalent token count,,MISSING,16.296,9581.9,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
ARC-C,LatentMAS,588,0,sender trajectory teacher-forced plus generated_latent_steps latent steps,716.7,570.0,335186,,0,latent KV payload; NOT convertible to an equivalent token count,10,0.3925,14.686,8635.1,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
GSM8K,No Message,564,0,sender reasoning reused verbatim from phase 1; no extra call,648.0,1012.5,571074,,0,,,MISSING,22.255,12551.7,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
GSM8K,Full Text,564,0,sender reasoning reused verbatim from phase 1; no extra call,1060.8,954.9,538586,404.9,1105.4,,,MISSING,20.808,11735.6,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
GSM8K,StateBridge,564,0,prefix/cache derived from the phase-1 forward pass; no extra generation,719.0,967.3,545531,,327680,hidden-state prefix; NOT convertible to an equivalent token count,,MISSING,21.272,11997.4,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
GSM8K,LatentMAS,564,0,sender trajectory teacher-forced plus generated_latent_steps latent steps,655.0,502.3,283288,,0,latent KV payload; NOT convertible to an equivalent token count,10,0.5471,12.946,7301.7,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
GPQA-D,No Message,708,0,sender reasoning reused verbatim from phase 1; no extra call,1576.1,2908.9,2059532,,0,,,MISSING,53.366,37782.8,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
GPQA-D,Full Text,708,0,sender reasoning reused verbatim from phase 1; no extra call,2742.4,2216.0,1568956,1158.3,3595.1,,,MISSING,41.624,29469.8,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
GPQA-D,StateBridge,708,0,prefix/cache derived from the phase-1 forward pass; no extra generation,1647.1,2539.4,1797927,,327477.5,hidden-state prefix; NOT convertible to an equivalent token count,,MISSING,46.03,32588.9,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
GPQA-D,LatentMAS,708,0,sender trajectory teacher-forced plus generated_latent_steps latent steps,1583.1,920.8,651923,,0,latent KV payload; NOT convertible to an equivalent token count,10,0.7161,23.461,16610.5,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
HumanEval+,No Message,168,0,sender reasoning reused verbatim from phase 1; no extra call,2613.0,4422.4,742965,,0,,,MISSING,119.206,20026.7,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
HumanEval+,Full Text,168,0,sender reasoning reused verbatim from phase 1; no extra call,4894.7,3878.4,651573,2273.7,8675.5,,,MISSING,106.572,17904.1,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
HumanEval+,StateBridge,168,0,prefix/cache derived from the phase-1 forward pass; no extra generation,2682.8,4102.9,689289,,321523.8,hidden-state prefix; NOT convertible to an equivalent token count,,MISSING,101.088,16982.8,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
HumanEval+,LatentMAS,168,0,sender trajectory teacher-forced plus generated_latent_steps latent steps,2620.0,2345.6,394064,,0,latent KV payload; NOT convertible to an equivalent token count,10,0.7212,86.096,14464.1,"per-record generation_seconds measured in-process; GPU contention varies with worker count, so totals are not a controlled throughput comparison"
