dataset,metric,closed_form,observed_all_items,observed_retained,identity_holds,rule
MedQA,CR,116,116,116,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
MedQA,PR,116,116,116,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
MedQA,SR,436,436,436,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
MedQA,SCR,1132,1132,52,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
ARC-C,CR,98,98,98,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
ARC-C,PR,98,98,98,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
ARC-C,SR,328,328,328,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
ARC-C,SCR,6466,6466,64,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
GSM8K,CR,92,92,92,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
GSM8K,PR,92,92,92,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
GSM8K,SR,334,334,334,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
GSM8K,SCR,7396,7396,46,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
GPQA-D,CR,114,114,114,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
GPQA-D,PR,114,114,114,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
GPQA-D,SR,432,432,432,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
GPQA-D,SCR,528,528,48,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
HumanEval+,CR,28,28,28,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
HumanEval+,PR,28,28,28,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
HumanEval+,SR,92,92,92,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
HumanEval+,SCR,836,836,20,YES,"k(3-k) for CR/PR, (3-k)(2-k) for SR, k(k-1) for SCR; summed over items with k correct beliefs"
