dataset,channel,scope,n_records,cr_pct,cr_num,cr_den,pr_pct,pr_num,pr_den,si_pct,si_minus_50,pi_cr_pct,pi_pr_pct,adoption_pi_bar_pct,discrimination_dpi,answer_changed_pct,sr_pct,sr_num,sr_den,scr_pct,scr_num,scr_den,acc_ret_pct,acc_ret_num,acc_ret_den
MedQA,Keep Initial,analytic,,0.00,0,,100.00,,,50.00,+0.00,0.00,0.00,0.00,0.00,0.00,NOT_APPLICABLE,,,NOT_APPLICABLE,,,NOT_APPLICABLE,,
MedQA,No Message,all_six_directions,720,6.90,8,116,98.28,114,116,52.59,+2.59,6.9,0.9,3.9,6.0,3.8,2.52,11,436,100.00,52,52,25.69,185,720
MedQA,Answer Only,mixed_directions_only,232,38.79,45,116,80.17,93,116,59.48,+9.48,38.8,19.8,29.3,19.0,29.3,NOT_MEASURED,,,NOT_MEASURED,,,NOT_MEASURED,,
MedQA,Full Text,all_six_directions,720,80.17,93,116,42.24,49,116,61.21,+11.21,80.2,57.8,69.0,22.4,31.1,0.46,2,436,100.00,52,52,27.22,196,720
MedQA,StateBridge,all_six_directions,720,54.31,63,116,71.55,83,116,62.93,+12.93,54.3,28.4,41.4,25.9,18.3,0.46,2,436,100.00,52,52,27.78,200,720
MedQA,LatentMAS,all_six_directions,720,69.83,81,116,32.76,38,116,51.29,+1.29,69.8,67.2,68.5,2.6,30.1,1.61,7,436,100.00,52,52,24.72,178,720
ARC-C,Keep Initial,analytic,,0.00,0,,100.00,,,50.00,+0.00,0.00,0.00,0.00,0.00,0.00,NOT_APPLICABLE,,,NOT_APPLICABLE,,,NOT_APPLICABLE,,
ARC-C,No Message,all_six_directions,588,8.16,8,98,92.86,91,98,50.51,+0.51,8.2,7.1,7.7,1.0,4.9,1.52,5,328,93.75,60,64,27.89,164,588
ARC-C,Answer Only,mixed_directions_only,196,38.78,38,98,63.27,62,98,51.02,+1.02,38.8,36.7,37.8,2.0,37.8,NOT_MEASURED,,,NOT_MEASURED,,,NOT_MEASURED,,
ARC-C,Full Text,all_six_directions,588,80.61,79,98,34.69,34,98,57.65,+7.65,80.6,65.3,73.0,15.3,27.0,0.30,1,328,100.00,64,64,30.27,178,588
