dataset,condition,phase1_beliefs_total,phase1_beliefs_non_terminating,phase1_non_termination_pct,items_touched,cr_retained_num,cr_retained_den,cr_retained_pct,cr_excluded_num,cr_excluded_den,cr_excluded_pct,pr_retained_num,pr_retained_den,pr_retained_pct,pr_excluded_num,pr_excluded_den,pr_excluded_pct,sr_retained_num,sr_retained_den,sr_retained_pct,sr_excluded_num,sr_excluded_den,sr_excluded_pct,scr_retained_num,scr_retained_den,scr_retained_pct,scr_excluded_num,scr_excluded_den,scr_excluded_pct,si_retained_pct,acc_ret_retained_num,acc_ret_retained_den,acc_ret_retained_pct,si_excluded_pct,acc_ret_excluded_num,acc_ret_excluded_den,acc_ret_excluded_pct,si_delta_pp,exclusion_rule,primary_analysis
MedQA,No Message,900,1,0.111,1,8,116,6.897,8,116,6.897,114,116,98.276,114,116,98.276,11,436,2.523,11,430,2.558,52,52,100.0,52,52,100.0,52.586,185,720,25.694,52.586,185,714,25.91,0.0,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
MedQA,Full Text,900,1,0.111,1,93,116,80.172,93,116,80.172,49,116,42.241,49,116,42.241,2,436,0.459,2,430,0.465,52,52,100.0,52,52,100.0,61.207,196,720,27.222,61.207,196,714,27.451,0.0,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
MedQA,StateBridge,900,1,0.111,1,67,116,57.759,67,116,57.759,87,116,75.0,87,116,75.0,2,436,0.459,2,430,0.465,52,52,100.0,52,52,100.0,66.379,208,720,28.889,66.379,208,714,29.132,0.0,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
MedQA,LatentMAS,900,1,0.111,1,81,116,69.828,81,116,69.828,38,116,32.759,38,116,32.759,7,436,1.606,7,430,1.628,52,52,100.0,52,52,100.0,51.293,178,720,24.722,51.293,178,714,24.93,0.0,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
ARC-C,No Message,3495,2,0.057,2,8,98,8.163,8,96,8.333,91,98,92.857,89,96,92.708,5,328,1.524,5,322,1.553,60,64,93.75,58,62,93.548,50.51,164,588,27.891,50.521,160,576,27.778,0.011,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
ARC-C,Full Text,3495,2,0.057,2,79,98,80.612,77,96,80.208,34,98,34.694,32,96,33.333,1,328,0.305,1,322,0.311,64,64,100.0,62,62,100.0,57.653,178,588,30.272,56.771,172,576,29.861,-0.882,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
ARC-C,StateBridge,3495,2,0.057,2,68,98,69.388,66,96,68.75,44,98,44.898,42,96,43.75,1,328,0.305,1,322,0.311,63,64,98.438,61,62,98.387,57.143,176,588,29.932,56.25,170,576,29.514,-0.893,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
ARC-C,LatentMAS,3495,2,0.057,2,57,98,58.163,55,96,57.292,45,98,45.918,43,96,44.792,3,328,0.915,3,322,0.932,61,64,95.312,59,62,95.161,52.041,166,588,28.231,51.042,160,576,27.778,-0.999,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
GSM8K,No Message,3957,2,0.051,2,12,92,13.043,8,88,9.091,85,92,92.391,81,88,92.045,6,334,1.796,6,334,1.796,45,46,97.826,41,42,97.619,52.717,148,564,26.241,50.568,136,552,24.638,-2.149,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
GSM8K,Full Text,3957,2,0.051,2,47,92,51.087,43,88,48.864,48,92,52.174,44,88,50.0,2,334,0.599,2,334,0.599,46,46,100.0,42,42,100.0,51.63,143,564,25.355,49.432,131,552,23.732,-2.198,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
GSM8K,StateBridge,3957,2,0.051,2,36,92,39.13,32,88,36.364,68,92,73.913,64,88,72.727,3,334,0.898,3,334,0.898,45,46,97.826,41,42,97.619,56.522,152,564,26.95,54.545,140,552,25.362,-1.977,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
GSM8K,LatentMAS,3957,2,0.051,2,55,92,59.783,51,88,57.955,43,92,46.739,39,88,44.318,2,334,0.599,2,334,0.599,44,46,95.652,40,42,95.238,53.261,144,564,25.532,51.136,132,552,23.913,-2.125,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
GPQA-D,No Message,594,13,2.189,9,16,114,14.035,9,100,9.0,110,114,96.491,96,100,96.0,10,432,2.315,6,412,1.456,44,48,91.667,39,42,92.857,55.263,180,708,25.424,52.5,150,654,22.936,-2.763,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
GPQA-D,Full Text,594,13,2.189,9,85,114,74.561,72,100,72.0,54,114,47.368,41,100,41.0,6,432,1.389,4,412,0.971,48,48,100.0,42,42,100.0,60.965,193,708,27.26,56.5,159,654,24.312,-4.465,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
GPQA-D,StateBridge,594,13,2.189,9,73,114,64.035,61,100,61.0,59,114,51.754,47,100,47.0,11,432,2.546,6,412,1.456,47,48,97.917,41,42,97.619,57.895,190,708,26.836,54.0,155,654,23.7,-3.895,"drop every item carrying at least one phase-1 generation that did not terminate within max_new_tokens; whole item, all six directions, label-free (depends only on hit_eos)",retained
